mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	2.0	3	2/4	1/2	0					firstMeasure	2
2	2	2	2.0	3	2/4	1/2	0						3
3	3	4	2.0	3	2/4	1/2	0						4
4	4	6	2.0	3	2/4	1/2	0						5
5	5	8	1.0	3	2/4	1/4	0						6
6	6	9	1.0	3	2/4	1/4	1/4						7
7	7	10	2.0	3	2/4	1/2	0						8
8	8	12	2.0	3	2/4	1/2	0						9
9	9	14	2.0	3	2/4	1/2	0						10
10	10	16	2.0	3	2/4	1/2	0						11
11	11	18	2.0	3	2/4	1/2	0			double			12
12	12	20	3.5	3	3/4	7/8	0						13
13	13	47/2	1.0	3	3/4	1/4	0						14
14	14	49/2	2.5	3	3/4	5/8	0			double			15
15	15	27	2.0	3	2/4	1/2	0						16
16	16	29	2.0	3	2/4	1/2	0						17
17	17	31	1.0	3	2/4	1/4	0						18
18	18	32	1.0	3	2/4	1/4	1/4						19
19	19	33	2.0	3	2/4	1/2	0						20
20	20	35	2.0	3	2/4	1/2	0						21
21	21	37	2.0	3	2/4	1/2	0						22
22	22	39	2.0	3	2/4	1/2	0						23
23	23	41	2.0	3	2/4	1/2	0			double			24
24	24	43	3.5	3	3/4	7/8	0						25
25	25	93/2	1.0	3	3/4	1/4	0						26
26	26	95/2	2.5	3	3/4	5/8	0			double			27
27	27	50	2.0	3	2/4	1/2	0						28
28	28	52	2.0	3	2/4	1/2	0						29
29	29	54	2.0	3	2/4	1/2	0						30
30	30	56	2.0	3	2/4	1/2	0						31
31	31	58	2.0	3	2/4	1/2	0			double			32
32	32	60	1.0	3	1/4	1/4	0			double			33
33	33	61	3.0	3	3/4	3/4	0						34
34	34	64	1.0	3	3/4	1/4	0						35
35	35	65	2.0	3	3/4	1/2	1/4						36
36	36	67	3.0	3	3/4	3/4	0						37
37	37	70	3.0	3	3/4	3/4	0						38
38	38	73	3.0	3	3/4	3/4	0						39
39	39	76	3.0	3	3/4	3/4	0						40
40	40	79	3.0	3	3/4	3/4	0						41
41	41	82	3.0	3	3/4	3/4	0						42
42	42	85	2.0	3	3/4	1/2	0						43
43	43	87	1.0	3	3/4	1/4	1/2						44
44	44	88	3.0	3	3/4	3/4	0			double			45
45	45	91	3.0	3	4/4	3/4	0						46
46	46	94	1.5	3	4/4	3/8	0			double			47
47	47	191/2	3.0	3	3/4	3/4	0			double			48
48	48	197/2	3.0	3	4/4	3/4	0						49
49	49	203/2	1.5	3	4/4	3/8	0						50
50	50	103	3.0	3	4/4	3/4	0			double			51
51	51	106	3.0	3	5/4	3/4	0						52
52	52	109	2.0	3	5/4	1/2	3/4			double			53
53	53	111	2.0	3	2/4	1/2	0						54
54	54	113	2.0	3	2/4	1/2	0						55
55	55	115	2.0	3	2/4	1/2	0						56
56	56	117	2.0	3	2/4	1/2	0						57
57	57	119	2.0	3	2/4	1/2	0						58
58	58	121	2.0	3	2/4	1/2	0						59
59	59	123	2.0	3	2/4	1/2	0						60
60	60	125	2.0	3	2/4	1/2	0						61
61	61	127	2.0	3	2/4	1/2	0						62
62	62	129	2.0	3	2/4	1/2	0						63
63	63	131	2.0	3	2/4	1/2	0			double			64
64	64	133	3.0	3	3/4	3/4	0						65
65	65	136	3.0	3	3/4	3/4	0						66
66	66	139	3.0	3	3/4	3/4	0						67
67	67	142	3.0	3	3/4	3/4	0						68
68	68	145	3.0	3	3/4	3/4	0						69
69	69	148	3.0	3	3/4	3/4	0			double			70
70	70	151	2.0	3	2/4	1/2	0						71
71	71	153	2.0	3	2/4	1/2	0						72
72	72	155	2.0	3	2/4	1/2	0						73
