mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	3.0	-1	6/8	3/4	0					firstMeasure	2
2	2	3	3.0	-1	6/8	3/4	0						3
3	3	6	3.0	-1	6/8	3/4	0						4
4	4	9	3.0	-1	6/8	3/4	0						5
5	5	12	3.0	-1	6/8	3/4	0						6
6	6	15	3.0	-1	6/8	3/4	0						7
7	7	18	3.0	-1	6/8	3/4	0						8
8	8	21	3.0	-1	6/8	3/4	0						9
9	9	24	3.0	-1	6/8	3/4	0						10
10	10	27	3.0	-1	6/8	3/4	0						11
11	11	30	3.0	-1	6/8	3/4	0						12
12	12	33	3.0	-1	6/8	3/4	0						13
13	13	36	3.0	-1	6/8	3/4	0						14
14	14	39	3.0	-1	6/8	3/4	0						15
15	15	42	3.0	-1	6/8	3/4	0						16
16	16	45	3.0	-1	6/8	3/4	0						17
17	17	48	3.0	-1	6/8	3/4	0						18
18	18	51	3.0	-1	6/8	3/4	0						19
19	19	54	3.0	-1	6/8	3/4	0						20
20	20	57	3.0	-1	6/8	3/4	0						21
21	21	60	3.0	-1	6/8	3/4	0						22
22	22	63	3.0	-1	6/8	3/4	0						23
23	23	66	3.0	-1	6/8	3/4	0						24
24	24	69	3.0	-1	6/8	3/4	0						25
25	25	72	3.0	-1	6/8	3/4	0						26
26	26	75	3.0	-1	6/8	3/4	0						27
27	27	78	3.0	-1	6/8	3/4	0						28
28	28	81	3.0	-1	6/8	3/4	0						29
29	29	84	3.0	-1	6/8	3/4	0						30
30	30	87	1.5	-1	3/8	3/8	0						31
31	31	177/2	4.5	-1	9/8	9/8	0						32
32	32	93	4.5	-1	9/8	9/8	0						33
33	33	195/2	4.5	-1	9/8	9/8	0						34
34	34	102	4.5	-1	9/8	9/8	0						35
35	35	213/2	3.0	-1	6/8	3/4	0						36
36	36	219/2	4.5	-1	9/8	9/8	0						37
37	37	114	4.5	-1	9/8	9/8	0						38
38	38	237/2	4.5	-1	9/8	9/8	0						39
39	39	123	4.5	-1	9/8	9/8	0						40
40	40	255/2	4.5	-1	9/8	9/8	0						41
41	41	132	3.0	-1	6/8	3/4	0						42
42	42	135	3.0	-1	6/8	3/4	0			double			43
43	43	138	3.0	4	6/8	3/4	0						44
44	44	141	3.0	4	6/8	3/4	0						45
45	45	144	3.0	4	6/8	3/4	0						46
46	46	147	3.0	4	6/8	3/4	0						47
47	47	150	3.0	4	6/8	3/4	0						48
48	48	153	3.0	4	6/8	3/4	0						49
49	49	156	3.0	4	6/8	3/4	0						50
50	50	159	3.0	4	6/8	3/4	0						51
51	51	162	3.0	4	6/8	3/4	0						52
52	52	165	3.0	4	6/8	3/4	0						53
53	53	168	3.0	4	6/8	3/4	0						54
54	54	171	3.0	4	6/8	3/4	0						55
55	55	174	3.0	4	6/8	3/4	0						56
56	56	177	3.0	2	6/8	3/4	0						57
57	57	180	3.0	2	6/8	3/4	0						58
58	58	183	3.5	2	6/8	7/8	0						59
59	59	373/2	3.0	2	6/8	3/4	0						60
60	60	379/2	3.0	2	6/8	3/4	0						61
61	61	385/2	3.0	2	6/8	3/4	0						62
62	62	391/2	3.0	2	6/8	3/4	0						63
63	63	397/2	3.0	2	6/8	3/4	0						64
64	64	403/2	3.0	2	6/8	3/4	0						65
65	65	409/2	3.0	2	6/8	3/4	0						66
66	66	415/2	3.0	2	6/8	3/4	0						67
67	67	421/2	3.0	2	6/8	3/4	0						68
68	68	427/2	3.0	2	6/8	3/4	0						69
69	69	433/2	3.0	2	6/8	3/4	0						70
70	70	439/2	4.0	2	6/8	1	0						71
71	71	447/2	3.5	2	3/4	7/8	0						72
72	72	227	3.5	2	3/4	7/8	0						73
73	73	461/2	3.0	2	3/4	3/4	0						74
74	74	467/2	3.5	2	3/4	7/8	0						75
75	75	237	3.0	2	3/4	3/4	0						76
76	76	240	3.0	2	3/4	3/4	0						77
77	77	243	3.0	2	3/4	3/4	0						78
78	78	246	3.0	2	3/4	3/4	0						79
79	79	249	3.0	2	3/4	3/4	0						80
80	80	252	3.5	2	3/4	7/8	0						81
81	81	511/2	3.0	2	3/4	3/4	0						82
82	82	517/2	3.0	2	3/4	3/4	0						83
83	83	523/2	3.0	2	3/4	3/4	0						84
84	84	529/2	3.0	2	3/4	3/4	0						85
85	85	535/2	3.0	2	3/4	3/4	0						86
86	86	541/2	3.5	2	3/4	7/8	0						87
87	87	274	3.0	2	3/4	3/4	0						88
88	88	277	3.5	2	3/4	7/8	0						89
89	89	561/2	3.0	2	3/4	3/4	0						90
90	90	567/2	3.0	2	3/4	3/4	0						91
91	91	573/2	3.0	2	3/4	3/4	0						92
92	92	579/2	3.0	2	3/4	3/4	0						93
93	93	585/2	3.0	2	3/4	3/4	0						94
94	94	591/2	3.0	2	3/4	3/4	0						95
95	95	597/2	3.0	2	3/4	3/4	0						96
96	96	603/2	3.5	2	3/4	7/8	0						97
97	97	305	3.0	2	3/4	3/4	0						98
98	98	308	3.0	2	3/4	3/4	0						99
99	99	311	3.0	2	3/4	3/4	0						100
100	100	314	3.0	2	3/4	3/4	0						101
101	101	317	3.0	2	3/4	3/4	0						102
102	102	320	3.0	2	3/4	3/4	0						103
103	103	323	3.0	2	3/4	3/4	0						104
104	104	326	3.0	2	3/4	3/4	0						105
105	105	329	3.0	2	3/4	3/4	0						106
106	106	332	3.0	2	3/4	3/4	0						107
107	107	335	3.0	2	3/4	3/4	0						108
108	108	338	3.0	2	3/4	3/4	0						109
109	109	341	3.0	2	3/4	3/4	0						110
110	110	344	3.0	2	3/4	3/4	0						111
111	111	347	3.0	2	3/4	3/4	0						112
112	112	350	3.0	2	3/4	3/4	0						113
113	113	353	3.0	2	3/4	3/4	0						114
114	114	356	3.0	2	3/4	3/4	0						115
115	115	359	3.0	2	3/4	3/4	0						116
116	116	362	3.0	2	3/4	3/4	0						117
117	117	365	3.0	2	3/4	3/4	0						118
118	118	368	3.0	2	3/4	3/4	0						119
119	119	371	3.0	2	3/4	3/4	0						120
120	120	374	3.0	2	3/4	3/4	0						121
121	121	377	3.0	2	3/4	3/4	0						122
122	122	380	3.0	2	3/4	3/4	0						123
123	123	383	3.0	2	3/4	3/4	0						124
124	124	386	3.0	2	3/4	3/4	0						125
125	125	389	4.5	2	9/8	9/8	0						126
126	126	787/2	4.5	2	9/8	9/8	0						127
