mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	0.08333333333333333	0	0	2/4	2	1	1/48			1/32	2/3		6	54	F#3	3	5
1	1	0	0	0.5	0	0	2/4	1	1	1/8			1/8	1		3	81	A5	5	0
1	1	0	0	0.5	0	0	2/4	1	1	1/8			1/8	1		4	88	E6	6	0
1	1	1/12	1/12	0.08333333333333333	1/48	1/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	6
1	1	1/6	1/6	0.08333333333333333	1/24	1/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	7
1	1	1/4	1/4	0.08333333333333333	1/16	1/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	8
1	1	1/3	1/3	0.08333333333333333	1/12	1/12	2/4	2	1	1/48			1/32	2/3		7	73	C#5	5	9
1	1	5/12	5/12	0.08333333333333333	5/48	5/48	2/4	2	1	1/48			1/32	2/3		4	76	E5	5	10
1	1	1/2	1/2	0.5	1/8	1/8	2/4	1	1	1/8			1/8	1	1	8	80	G#5	5	1
1	1	1/2	1/2	0.08333333333333333	1/8	1/8	2/4	2	1	1/48			1/32	2/3		3	81	A5	5	11
1	1	1/2	1/2	0.5	1/8	1/8	2/4	1	1	1/8			1/8	1	1	7	85	C#6	6	1
1	1	7/12	7/12	0.08333333333333333	7/48	7/48	2/4	2	1	1/48			1/32	2/3		4	76	E5	5	12
1	1	2/3	2/3	0.08333333333333333	1/6	1/6	2/4	2	1	1/48			1/32	2/3		7	73	C#5	5	13
1	1	3/4	3/4	0.08333333333333333	3/16	3/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	14
1	1	5/6	5/6	0.08333333333333333	5/24	5/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	15
1	1	11/12	11/12	0.08333333333333333	11/48	11/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	16
1	1	1	1	0.08333333333333333	1/4	1/4	2/4	2	1	1/48			1/32	2/3		6	54	F#3	3	17
1	1	1	1	0.3333333333333333	1/4	1/4	2/4	1	1	1/12			1/8	2/3	-1	8	80	G#5	5	2
1	1	1	1	0.3333333333333333	1/4	1/4	2/4	1	1	1/12			1/8	2/3	-1	7	85	C#6	6	2
1	1	13/12	13/12	0.08333333333333333	13/48	13/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	18
1	1	7/6	7/6	0.08333333333333333	7/24	7/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	19
1	1	5/4	5/4	0.08333333333333333	5/16	5/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	20
1	1	4/3	4/3	0.08333333333333333	1/3	1/3	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	21
1	1	4/3	4/3	0.3333333333333333	1/3	1/3	2/4	1	1	1/12			1/8	2/3		7	73	C#5	5	3
1	1	4/3	4/3	0.3333333333333333	1/3	1/3	2/4	1	1	1/12			1/8	2/3		8	80	G#5	5	3
1	1	17/12	17/12	0.08333333333333333	17/48	17/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	22
1	1	3/2	3/2	0.08333333333333333	3/8	3/8	2/4	2	1	1/48			1/32	2/3		6	54	F#3	3	23
1	1	19/12	19/12	0.08333333333333333	19/48	19/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	24
1	1	5/3	5/3	0.08333333333333333	5/12	5/12	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	25
1	1	5/3	5/3	0.3333333333333333	5/12	5/12	2/4	1	1	1/12			1/8	2/3		4	76	E5	5	4
1	1	5/3	5/3	0.3333333333333333	5/12	5/12	2/4	1	1	1/12			1/8	2/3		6	78	F#5	5	4
1	1	7/4	7/4	0.08333333333333333	7/16	7/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	26
1	1	11/6	11/6	0.08333333333333333	11/24	11/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	27
1	1	23/12	23/12	0.08333333333333333	23/48	23/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	28
2	2	2	2	0.08333333333333333	0	0	2/4	2	1	1/48			1/32	2/3		6	54	F#3	3	34
2	2	2	2	0.5	0	0	2/4	1	1	1/8			1/8	1		3	81	A5	5	29
2	2	2	2	0.5	0	0	2/4	1	1	1/8			1/8	1		4	88	E6	6	29
2	2	25/12	25/12	0.08333333333333333	1/48	1/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	35
2	2	13/6	13/6	0.08333333333333333	1/24	1/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	36
2	2	9/4	9/4	0.08333333333333333	1/16	1/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	37
2	2	7/3	7/3	0.08333333333333333	1/12	1/12	2/4	2	1	1/48			1/32	2/3		7	73	C#5	5	38
2	2	29/12	29/12	0.08333333333333333	5/48	5/48	2/4	2	1	1/48			1/32	2/3		4	76	E5	5	39
2	2	5/2	5/2	0.5	1/8	1/8	2/4	1	1	1/8			1/8	1	1	8	80	G#5	5	30
2	2	5/2	5/2	0.08333333333333333	1/8	1/8	2/4	2	1	1/48			1/32	2/3		3	81	A5	5	40
2	2	5/2	5/2	0.5	1/8	1/8	2/4	1	1	1/8			1/8	1	1	7	85	C#6	6	30
2	2	31/12	31/12	0.08333333333333333	7/48	7/48	2/4	2	1	1/48			1/32	2/3		4	76	E5	5	41
2	2	8/3	8/3	0.08333333333333333	1/6	1/6	2/4	2	1	1/48			1/32	2/3		7	73	C#5	5	42
2	2	11/4	11/4	0.08333333333333333	3/16	3/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	43
2	2	17/6	17/6	0.08333333333333333	5/24	5/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	44
2	2	35/12	35/12	0.08333333333333333	11/48	11/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	45
2	2	3	3	0.08333333333333333	1/4	1/4	2/4	2	1	1/48			1/32	2/3		6	54	F#3	3	46
2	2	3	3	0.3333333333333333	1/4	1/4	2/4	1	1	1/12			1/8	2/3	-1	8	80	G#5	5	31
2	2	3	3	0.3333333333333333	1/4	1/4	2/4	1	1	1/12			1/8	2/3	-1	7	85	C#6	6	31
2	2	37/12	37/12	0.08333333333333333	13/48	13/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	47
2	2	19/6	19/6	0.08333333333333333	7/24	7/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	48
2	2	13/4	13/4	0.08333333333333333	5/16	5/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	49
2	2	10/3	10/3	0.08333333333333333	1/3	1/3	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	50
2	2	10/3	10/3	0.3333333333333333	1/3	1/3	2/4	1	1	1/12			1/8	2/3		7	73	C#5	5	32
2	2	10/3	10/3	0.3333333333333333	1/3	1/3	2/4	1	1	1/12			1/8	2/3		8	80	G#5	5	32
2	2	41/12	41/12	0.08333333333333333	17/48	17/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	51
2	2	7/2	7/2	0.08333333333333333	3/8	3/8	2/4	2	1	1/48			1/32	2/3		6	54	F#3	3	52
2	2	43/12	43/12	0.08333333333333333	19/48	19/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	53
2	2	11/3	11/3	0.08333333333333333	5/12	5/12	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	54
2	2	11/3	11/3	0.3333333333333333	5/12	5/12	2/4	1	1	1/12			1/8	2/3		4	76	E5	5	33
2	2	11/3	11/3	0.3333333333333333	5/12	5/12	2/4	1	1	1/12			1/8	2/3		6	78	F#5	5	33
2	2	15/4	15/4	0.08333333333333333	7/16	7/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	55
2	2	23/6	23/6	0.08333333333333333	11/24	11/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	56
2	2	47/12	47/12	0.08333333333333333	23/48	23/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	57
3	3	4	4	0.08333333333333333	0	0	2/4	2	1	1/48			1/32	2/3		6	54	F#3	3	63
3	3	4	4	0.5	0	0	2/4	1	1	1/8			1/8	1		3	81	A5	5	58
3	3	4	4	0.5	0	0	2/4	1	1	1/8			1/8	1		4	88	E6	6	58
3	3	49/12	49/12	0.08333333333333333	1/48	1/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	64
3	3	25/6	25/6	0.08333333333333333	1/24	1/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	65
3	3	17/4	17/4	0.08333333333333333	1/16	1/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	66
3	3	13/3	13/3	0.08333333333333333	1/12	1/12	2/4	2	1	1/48			1/32	2/3		7	73	C#5	5	67
3	3	53/12	53/12	0.08333333333333333	5/48	5/48	2/4	2	1	1/48			1/32	2/3		4	76	E5	5	68
3	3	9/2	9/2	0.5	1/8	1/8	2/4	1	1	1/8			1/8	1	1	8	80	G#5	5	59
3	3	9/2	9/2	0.08333333333333333	1/8	1/8	2/4	2	1	1/48			1/32	2/3		3	81	A5	5	69
3	3	9/2	9/2	0.5	1/8	1/8	2/4	1	1	1/8			1/8	1	1	7	85	C#6	6	59
3	3	55/12	55/12	0.08333333333333333	7/48	7/48	2/4	2	1	1/48			1/32	2/3		4	76	E5	5	70
3	3	14/3	14/3	0.08333333333333333	1/6	1/6	2/4	2	1	1/48			1/32	2/3		7	73	C#5	5	71
3	3	19/4	19/4	0.08333333333333333	3/16	3/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	72
3	3	29/6	29/6	0.08333333333333333	5/24	5/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	73
3	3	59/12	59/12	0.08333333333333333	11/48	11/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	74
3	3	5	5	0.08333333333333333	1/4	1/4	2/4	2	1	1/48			1/32	2/3		6	54	F#3	3	75
3	3	5	5	0.3333333333333333	1/4	1/4	2/4	1	1	1/12			1/8	2/3	-1	8	80	G#5	5	60
3	3	5	5	0.3333333333333333	1/4	1/4	2/4	1	1	1/12			1/8	2/3	-1	7	85	C#6	6	60
