mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.5	0	0	6/8	2	1	1/8			1/8	1		2	62	D4	4	3
1	1	1/2	0.5	1/8	1/8	6/8	1	1	1/8			1/8	1		-3	63	Eb4	4	0
1	1	1/2	0.5	1/8	1/8	6/8	1	1	1/8			1/8	1		6	66	F#4	4	0
1	1	1/2	0.5	1/8	1/8	6/8	1	1	1/8			1/8	1		2	74	D5	5	0
1	1	1	0.5	1/4	1/4	6/8	2	1	1/8			1/8	1		2	62	D4	4	4
1	1	3/2	0.5	3/8	3/8	6/8	1	1	1/8			1/8	1		-3	63	Eb4	4	1
1	1	3/2	0.5	3/8	3/8	6/8	1	1	1/8			1/8	1		6	66	F#4	4	1
1	1	3/2	0.5	3/8	3/8	6/8	1	1	1/8			1/8	1		2	74	D5	5	1
1	1	2	0.5	1/2	1/2	6/8	2	1	1/8			1/8	1		2	62	D4	4	5
1	1	5/2	0.5	5/8	5/8	6/8	2	1	1/8			1/8	1		-1	65	F4	4	6
1	1	5/2	0.5	5/8	5/8	6/8	1	1	1/8			1/8	1		6	66	F#4	4	2
1	1	5/2	0.5	5/8	5/8	6/8	1	1	1/8			1/8	1		3	69	A4	4	2
1	1	5/2	0.5	5/8	5/8	6/8	1	1	1/8			1/8	1		-1	77	F5	5	2
2	2	3	0.5	0	0	6/8	2	1	1/8			1/8	1		2	62	D4	4	10
2	2	7/2	0.5	1/8	1/8	6/8	1	1	1/8			1/8	1		-3	63	Eb4	4	7
2	2	7/2	0.5	1/8	1/8	6/8	1	1	1/8			1/8	1		6	66	F#4	4	7
2	2	7/2	0.5	1/8	1/8	6/8	1	1	1/8			1/8	1		2	74	D5	5	7
2	2	4	0.5	1/4	1/4	6/8	2	1	1/8			1/8	1		2	62	D4	4	11
2	2	9/2	0.5	3/8	3/8	6/8	2	1	1/8			1/8	1		3	57	A3	3	12
2	2	5	0.5	1/2	1/2	6/8	2	1	1/8			1/8	1		0	60	C4	4	13
2	2	5	0.5	1/2	1/2	6/8	1	1	1/8			1/8	1		7	61	C#4	4	8
2	2	5	0.5	1/2	1/2	6/8	1	1	1/8			1/8	1		-3	63	Eb4	4	8
2	2	5	0.5	1/2	1/2	6/8	1	1	1/8			1/8	1		0	72	C5	5	8
2	2	11/2	0.5	5/8	5/8	6/8	2	1	1/8			1/8	1		1	55	G3	3	14
2	2	11/2	0.5	5/8	5/8	6/8	1	1	1/8			1/8	1		8	56	G#3	3	9
2	2	11/2	0.5	5/8	5/8	6/8	1	1	1/8			1/8	1		5	59	B3	3	9
2	2	11/2	0.5	5/8	5/8	6/8	1	1	1/8			1/8	1		1	67	G4	4	9
3	3	6	0.5	0	0	6/8	2	1	1/8			1/8	1		2	62	D4	4	18
3	3	13/2	0.5	1/8	1/8	6/8	1	1	1/8			1/8	1		-3	63	Eb4	4	15
3	3	13/2	0.5	1/8	1/8	6/8	1	1	1/8			1/8	1		6	66	F#4	4	15
3	3	13/2	0.5	1/8	1/8	6/8	1	1	1/8			1/8	1		2	74	D5	5	15
3	3	7	0.5	1/4	1/4	6/8	2	1	1/8			1/8	1		2	62	D4	4	19
3	3	15/2	0.5	3/8	3/8	6/8	1	1	1/8			1/8	1		-3	63	Eb4	4	16
3	3	15/2	0.5	3/8	3/8	6/8	1	1	1/8			1/8	1		6	66	F#4	4	16
3	3	15/2	0.5	3/8	3/8	6/8	1	1	1/8			1/8	1		2	74	D5	5	16
3	3	8	0.5	1/2	1/2	6/8	2	1	1/8			1/8	1		2	62	D4	4	20
