quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0.3333333333333333	1	1	1/4	1/4	2/4	1	1	1/12			1/8	2/3	-1	7	85	C#6	6	2
13/12	0.08333333333333333	1	1	13/48	13/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	18
7/6	0.08333333333333333	1	1	7/24	7/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	19
5/4	0.08333333333333333	1	1	5/16	5/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	20
4/3	0.08333333333333333	1	1	1/3	1/3	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	21
4/3	0.3333333333333333	1	1	1/3	1/3	2/4	1	1	1/12			1/8	2/3		7	73	C#5	5	3
4/3	0.3333333333333333	1	1	1/3	1/3	2/4	1	1	1/12			1/8	2/3		8	80	G#5	5	3
17/12	0.08333333333333333	1	1	17/48	17/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	22
3/2	0.08333333333333333	1	1	3/8	3/8	2/4	2	1	1/48			1/32	2/3		6	54	F#3	3	23
19/12	0.08333333333333333	1	1	19/48	19/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	24
5/3	0.08333333333333333	1	1	5/12	5/12	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	25
5/3	0.3333333333333333	1	1	5/12	5/12	2/4	1	1	1/12			1/8	2/3		4	76	E5	5	4
5/3	0.3333333333333333	1	1	5/12	5/12	2/4	1	1	1/12			1/8	2/3		6	78	F#5	5	4
7/4	0.08333333333333333	1	1	7/16	7/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	26
11/6	0.08333333333333333	1	1	11/24	11/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	27
23/12	0.08333333333333333	1	1	23/48	23/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	28
2	0.08333333333333333	2	2	0	0	2/4	2	1	1/48			1/32	2/3		6	54	F#3	3	34
2	0.5	2	2	0	0	2/4	1	1	1/8			1/8	1		3	81	A5	5	29
2	0.5	2	2	0	0	2/4	1	1	1/8			1/8	1		4	88	E6	6	29
25/12	0.08333333333333333	2	2	1/48	1/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	35
13/6	0.08333333333333333	2	2	1/24	1/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	36
9/4	0.08333333333333333	2	2	1/16	1/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	37
7/3	0.08333333333333333	2	2	1/12	1/12	2/4	2	1	1/48			1/32	2/3		7	73	C#5	5	38
29/12	0.08333333333333333	2	2	5/48	5/48	2/4	2	1	1/48			1/32	2/3		4	76	E5	5	39
5/2	0.5	2	2	1/8	1/8	2/4	1	1	1/8			1/8	1	1	8	80	G#5	5	30
5/2	0.08333333333333333	2	2	1/8	1/8	2/4	2	1	1/48			1/32	2/3		3	81	A5	5	40
5/2	0.5	2	2	1/8	1/8	2/4	1	1	1/8			1/8	1	1	7	85	C#6	6	30
31/12	0.08333333333333333	2	2	7/48	7/48	2/4	2	1	1/48			1/32	2/3		4	76	E5	5	41
8/3	0.08333333333333333	2	2	1/6	1/6	2/4	2	1	1/48			1/32	2/3		7	73	C#5	5	42
11/4	0.08333333333333333	2	2	3/16	3/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	43
17/6	0.08333333333333333	2	2	5/24	5/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	44
35/12	0.08333333333333333	2	2	11/48	11/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	45
3	0.08333333333333333	2	2	1/4	1/4	2/4	2	1	1/48			1/32	2/3		6	54	F#3	3	46
3	0.3333333333333333	2	2	1/4	1/4	2/4	1	1	1/12			1/8	2/3	-1	8	80	G#5	5	31
3	0.3333333333333333	2	2	1/4	1/4	2/4	1	1	1/12			1/8	2/3	-1	7	85	C#6	6	31
37/12	0.08333333333333333	2	2	13/48	13/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	47
19/6	0.08333333333333333	2	2	7/24	7/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	48
13/4	0.08333333333333333	2	2	5/16	5/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	49
10/3	0.08333333333333333	2	2	1/3	1/3	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	50
10/3	0.3333333333333333	2	2	1/3	1/3	2/4	1	1	1/12			1/8	2/3		7	73	C#5	5	32
10/3	0.3333333333333333	2	2	1/3	1/3	2/4	1	1	1/12			1/8	2/3		8	80	G#5	5	32
41/12	0.08333333333333333	2	2	17/48	17/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	51
7/2	0.08333333333333333	2	2	3/8	3/8	2/4	2	1	1/48			1/32	2/3		6	54	F#3	3	52
43/12	0.08333333333333333	2	2	19/48	19/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	53
11/3	0.08333333333333333	2	2	5/12	5/12	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	54
11/3	0.3333333333333333	2	2	5/12	5/12	2/4	1	1	1/12			1/8	2/3		4	76	E5	5	33
11/3	0.3333333333333333	2	2	5/12	5/12	2/4	1	1	1/12			1/8	2/3		6	78	F#5	5	33
15/4	0.08333333333333333	2	2	7/16	7/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	55
23/6	0.08333333333333333	2	2	11/24	11/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	56
47/12	0.08333333333333333	2	2	23/48	23/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	57
4	0.08333333333333333	3	3	0	0	2/4	2	1	1/48			1/32	2/3		6	54	F#3	3	63
4	0.5	3	3	0	0	2/4	1	1	1/8			1/8	1		3	81	A5	5	58
4	0.5	3	3	0	0	2/4	1	1	1/8			1/8	1		4	88	E6	6	58
49/12	0.08333333333333333	3	3	1/48	1/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	64
25/6	0.08333333333333333	3	3	1/24	1/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	65
17/4	0.08333333333333333	3	3	1/16	1/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	66
13/3	0.08333333333333333	3	3	1/12	1/12	2/4	2	1	1/48			1/32	2/3		7	73	C#5	5	67
53/12	0.08333333333333333	3	3	5/48	5/48	2/4	2	1	1/48			1/32	2/3		4	76	E5	5	68
9/2	0.5	3	3	1/8	1/8	2/4	1	1	1/8			1/8	1	1	8	80	G#5	5	59
9/2	0.08333333333333333	3	3	1/8	1/8	2/4	2	1	1/48			1/32	2/3		3	81	A5	5	69
9/2	0.5	3	3	1/8	1/8	2/4	1	1	1/8			1/8	1	1	7	85	C#6	6	59
55/12	0.08333333333333333	3	3	7/48	7/48	2/4	2	1	1/48			1/32	2/3		4	76	E5	5	70
14/3	0.08333333333333333	3	3	1/6	1/6	2/4	2	1	1/48			1/32	2/3		7	73	C#5	5	71
19/4	0.08333333333333333	3	3	3/16	3/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	72
29/6	0.08333333333333333	3	3	5/24	5/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	73
59/12	0.08333333333333333	3	3	11/48	11/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	74
5	0.08333333333333333	3	3	1/4	1/4	2/4	2	1	1/48			1/32	2/3		6	54	F#3	3	75
5	0.3333333333333333	3	3	1/4	1/4	2/4	1	1	1/12			1/8	2/3	-1	8	80	G#5	5	60
5	0.3333333333333333	3	3	1/4	1/4	2/4	1	1	1/12			1/8	2/3	-1	7	85	C#6	6	60
61/12	0.08333333333333333	3	3	13/48	13/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	76
31/6	0.08333333333333333	3	3	7/24	7/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	77
21/4	0.08333333333333333	3	3	5/16	5/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	78
16/3	0.08333333333333333	3	3	1/3	1/3	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	79
16/3	0.3333333333333333	3	3	1/3	1/3	2/4	1	1	1/12			1/8	2/3		7	73	C#5	5	61
16/3	0.3333333333333333	3	3	1/3	1/3	2/4	1	1	1/12			1/8	2/3		8	80	G#5	5	61
65/12	0.08333333333333333	3	3	17/48	17/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	80
11/2	0.08333333333333333	3	3	3/8	3/8	2/4	2	1	1/48			1/32	2/3		6	54	F#3	3	81
67/12	0.08333333333333333	3	3	19/48	19/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	82
17/3	0.08333333333333333	3	3	5/12	5/12	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	83
17/3	0.3333333333333333	3	3	5/12	5/12	2/4	1	1	1/12			1/8	2/3		4	76	E5	5	62
17/3	0.3333333333333333	3	3	5/12	5/12	2/4	1	1	1/12			1/8	2/3		6	78	F#5	5	62
23/4	0.08333333333333333	3	3	7/16	7/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	84
35/6	0.08333333333333333	3	3	11/24	11/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	85
71/12	0.08333333333333333	3	3	23/48	23/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	86
6	0.08333333333333333	4	4	0	0	2/4	2	1	1/48			1/32	2/3		6	54	F#3	3	93
6	0.5	4	4	0	0	2/4	1	1	1/8			1/8	1		3	81	A5	5	87
6	0.5	4	4	0	0	2/4	1	1	1/8			1/8	1		4	88	E6	6	87
73/12	0.08333333333333333	4	4	1/48	1/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	94
37/6	0.08333333333333333	4	4	1/24	1/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	95
25/4	0.08333333333333333	4	4	1/16	1/16	2/4	2	1	1/48			1/32	2/3		8	68	G#4	4	96
25/4	0.6666666666666666	4	4	1/16	1/16	2/4	2	2	1/6			1/4	2/3		8	68	G#4	4	117
19/3	0.08333333333333333	4	4	1/12	1/12	2/4	2	1	1/48			1/32	2/3		7	73	C#5	5	97
77/12	0.08333333333333333	4	4	5/48	5/48	2/4	2	1	1/48			1/32	2/3		4	76	E5	5	98
13/2	0.5	4	4	1/8	1/8	2/4	1	1	1/8			1/8	1	1	8	80	G#5	5	88
13/2	0.08333333333333333	4	4	1/8	1/8	2/4	2	1	1/48			1/32	2/3		3	81	A5	5	99
13/2	0.5	4	4	1/8	1/8	2/4	1	1	1/8			1/8	1	1	7	85	C#6	6	88
79/12	0.08333333333333333	4	4	7/48	7/48	2/4	2	1	1/48			1/32	2/3		4	76	E5	5	100
20/3	0.08333333333333333	4	4	1/6	1/6	2/4	2	1	1/48			1/32	2/3		7	73	C#5	5	101
27/4	0.08333333333333333	4	4	3/16	3/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	102
41/6	0.08333333333333333	4	4	5/24	5/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	103
83/12	0.08333333333333333	4	4	11/48	11/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	104
7	0.08333333333333333	4	4	1/4	1/4	2/4	2	1	1/48			1/32	2/3		6	54	F#3	3	105
7	1.0	4	4	1/4	1/4	2/4	1	2	1/4			1/4	1	1	7	73	C#5	5	92
7	0.3333333333333333	4	4	1/4	1/4	2/4	1	1	1/12			1/8	2/3	-1	8	80	G#5	5	89
7	0.3333333333333333	4	4	1/4	1/4	2/4	1	1	1/12			1/8	2/3	-1	7	85	C#6	6	89
85/12	0.08333333333333333	4	4	13/48	13/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	106
43/6	0.08333333333333333	4	4	7/24	7/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	107
29/4	0.08333333333333333	4	4	5/16	5/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	108
22/3	0.08333333333333333	4	4	1/3	1/3	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	109
22/3	0.3333333333333333	4	4	1/3	1/3	2/4	1	1	1/12			1/8	2/3		7	73	C#5	5	90
22/3	0.3333333333333333	4	4	1/3	1/3	2/4	1	1	1/12			1/8	2/3		8	80	G#5	5	90
89/12	0.08333333333333333	4	4	17/48	17/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	110
15/2	0.08333333333333333	4	4	3/8	3/8	2/4	2	1	1/48			1/32	2/3		6	54	F#3	3	111
91/12	0.08333333333333333	4	4	19/48	19/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	112
23/3	0.08333333333333333	4	4	5/12	5/12	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	113
23/3	0.3333333333333333	4	4	5/12	5/12	2/4	1	1	1/12			1/8	2/3		4	76	E5	5	91
23/3	0.3333333333333333	4	4	5/12	5/12	2/4	1	1	1/12			1/8	2/3		6	78	F#5	5	91
31/4	0.08333333333333333	4	4	7/16	7/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	114
47/6	0.08333333333333333	4	4	11/24	11/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	115
95/12	0.08333333333333333	4	4	23/48	23/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	116
8	0.08333333333333333	5	5	0	0	2/4	2	1	1/48			1/32	2/3		6	54	F#3	3	121
8	1.0	5	5	0	0	2/4	1	2	1/4			1/4	1	-1	7	73	C#5	5	120
8	0.5	5	5	0	0	2/4	1	1	1/8			1/8	1		3	81	A5	5	118
8	0.5	5	5	0	0	2/4	1	1	1/8			1/8	1		4	88	E6	6	118
97/12	0.08333333333333333	5	5	1/48	1/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	122
49/6	0.08333333333333333	5	5	1/24	1/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	123
33/4	0.08333333333333333	5	5	1/16	1/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	124
25/3	0.08333333333333333	5	5	1/12	1/12	2/4	2	1	1/48			1/32	2/3		7	73	C#5	5	125
101/12	0.08333333333333333	5	5	5/48	5/48	2/4	2	1	1/48			1/32	2/3		4	76	E5	5	126
17/2	0.5	5	5	1/8	1/8	2/4	1	1	1/8			1/8	1	1	8	80	G#5	5	119
17/2	0.08333333333333333	5	5	1/8	1/8	2/4	2	1	1/48			1/32	2/3		3	81	A5	5	127
17/2	0.5	5	5	1/8	1/8	2/4	1	1	1/8			1/8	1	1	7	85	C#6	6	119
103/12	0.08333333333333333	5	5	7/48	7/48	2/4	2	1	1/48			1/32	2/3		4	76	E5	5	128
26/3	0.08333333333333333	5	5	1/6	1/6	2/4	2	1	1/48			1/32	2/3		7	73	C#5	5	129
35/4	0.08333333333333333	5	5	3/16	3/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	130
53/6	0.08333333333333333	5	5	5/24	5/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	131
107/12	0.08333333333333333	5	5	11/48	11/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	132
9	0.08333333333333333	6	6	0	1/4	2/4	2	1	1/48			1/32	2/3		6	54	F#3	3	136
9	0.3333333333333333	6	6	0	1/4	2/4	1	1	1/12			1/8	2/3	-1	8	80	G#5	5	133
9	0.3333333333333333	6	6	0	1/4	2/4	1	1	1/12			1/8	2/3	-1	7	85	C#6	6	133
109/12	0.08333333333333333	6	6	1/48	13/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	137
55/6	0.08333333333333333	6	6	1/24	7/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	138
37/4	0.08333333333333333	6	6	1/16	5/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	139
28/3	0.08333333333333333	6	6	1/12	1/3	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	140
28/3	0.3333333333333333	6	6	1/12	1/3	2/4	1	1	1/12			1/8	2/3		7	73	C#5	5	134
28/3	0.3333333333333333	6	6	1/12	1/3	2/4	1	1	1/12			1/8	2/3		8	80	G#5	5	134
113/12	0.08333333333333333	6	6	5/48	17/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	141
19/2	0.08333333333333333	6	6	1/8	3/8	2/4	2	1	1/48			1/32	2/3		6	54	F#3	3	142
115/12	0.08333333333333333	6	6	7/48	19/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	143
29/3	0.08333333333333333	6	6	1/6	5/12	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	144
29/3	0.3333333333333333	6	6	1/6	5/12	2/4	1	1	1/12			1/8	2/3		4	76	E5	5	135
29/3	0.3333333333333333	6	6	1/6	5/12	2/4	1	1	1/12			1/8	2/3		6	78	F#5	5	135
39/4	0.08333333333333333	6	6	3/16	7/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	145
59/6	0.08333333333333333	6	6	5/24	11/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	146
119/12	0.08333333333333333	6	6	11/48	23/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	147
10	0.08333333333333333	7	7	0	0	2/4	2	1	1/48			1/32	2/3		6	54	F#3	3	154
10	0.5	7	7	0	0	2/4	1	1	1/8			1/8	1		3	81	A5	5	148
10	0.5	7	7	0	0	2/4	1	1	1/8			1/8	1		4	88	E6	6	148
121/12	0.08333333333333333	7	7	1/48	1/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	155
61/6	0.08333333333333333	7	7	1/24	1/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	156
41/4	0.08333333333333333	7	7	1/16	1/16	2/4	2	1	1/48			1/32	2/3		8	68	G#4	4	157
41/4	0.6666666666666666	7	7	1/16	1/16	2/4	2	2	1/6			1/4	2/3		8	68	G#4	4	178
31/3	0.08333333333333333	7	7	1/12	1/12	2/4	2	1	1/48			1/32	2/3		7	73	C#5	5	158
125/12	0.08333333333333333	7	7	5/48	5/48	2/4	2	1	1/48			1/32	2/3		4	76	E5	5	159
21/2	0.5	7	7	1/8	1/8	2/4	1	1	1/8			1/8	1	1	8	80	G#5	5	149
21/2	0.08333333333333333	7	7	1/8	1/8	2/4	2	1	1/48			1/32	2/3		3	81	A5	5	160
21/2	0.5	7	7	1/8	1/8	2/4	1	1	1/8			1/8	1	1	7	85	C#6	6	149
127/12	0.08333333333333333	7	7	7/48	7/48	2/4	2	1	1/48			1/32	2/3		4	76	E5	5	161
32/3	0.08333333333333333	7	7	1/6	1/6	2/4	2	1	1/48			1/32	2/3		7	73	C#5	5	162
43/4	0.08333333333333333	7	7	3/16	3/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	163
65/6	0.08333333333333333	7	7	5/24	5/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	164
131/12	0.08333333333333333	7	7	11/48	11/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	165
11	0.08333333333333333	7	7	1/4	1/4	2/4	2	1	1/48			1/32	2/3		6	54	F#3	3	166
11	1.0	7	7	1/4	1/4	2/4	1	2	1/4			1/4	1		7	73	C#5	5	153
11	0.3333333333333333	7	7	1/4	1/4	2/4	1	1	1/12			1/8	2/3	-1	8	80	G#5	5	150
11	0.3333333333333333	7	7	1/4	1/4	2/4	1	1	1/12			1/8	2/3	-1	7	85	C#6	6	150
133/12	0.08333333333333333	7	7	13/48	13/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	167
67/6	0.08333333333333333	7	7	7/24	7/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	168
45/4	0.08333333333333333	7	7	5/16	5/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	169
34/3	0.08333333333333333	7	7	1/3	1/3	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	170
34/3	0.3333333333333333	7	7	1/3	1/3	2/4	1	1	1/12			1/8	2/3		7	73	C#5	5	151
34/3	0.3333333333333333	7	7	1/3	1/3	2/4	1	1	1/12			1/8	2/3		8	80	G#5	5	151
137/12	0.08333333333333333	7	7	17/48	17/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	171
23/2	0.08333333333333333	7	7	3/8	3/8	2/4	2	1	1/48			1/32	2/3		6	54	F#3	3	172
139/12	0.08333333333333333	7	7	19/48	19/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	173
35/3	0.08333333333333333	7	7	5/12	5/12	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	174
35/3	0.3333333333333333	7	7	5/12	5/12	2/4	1	1	1/12			1/8	2/3		4	76	E5	5	152
35/3	0.3333333333333333	7	7	5/12	5/12	2/4	1	1	1/12			1/8	2/3		6	78	F#5	5	152
47/4	0.08333333333333333	7	7	7/16	7/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	175
71/6	0.08333333333333333	7	7	11/24	11/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	176
143/12	0.08333333333333333	7	7	23/48	23/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	177
12	0.08333333333333333	8	8	0	0	2/4	2	1	1/48			1/32	2/3		6	54	F#3	3	185
12	1.0	8	8	0	0	2/4	1	2	1/4			1/4	1		7	73	C#5	5	184
12	0.5	8	8	0	0	2/4	1	1	1/8			1/8	1		3	81	A5	5	179
12	0.5	8	8	0	0	2/4	1	1	1/8			1/8	1		4	88	E6	6	179
145/12	0.08333333333333333	8	8	1/48	1/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	186
73/6	0.08333333333333333	8	8	1/24	1/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	187
49/4	0.08333333333333333	8	8	1/16	1/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	188
37/3	0.08333333333333333	8	8	1/12	1/12	2/4	2	1	1/48			1/32	2/3		7	73	C#5	5	189
149/12	0.08333333333333333	8	8	5/48	5/48	2/4	2	1	1/48			1/32	2/3		4	76	E5	5	190
25/2	0.5	8	8	1/8	1/8	2/4	1	1	1/8			1/8	1	1	8	80	G#5	5	180
25/2	0.08333333333333333	8	8	1/8	1/8	2/4	2	1	1/48			1/32	2/3		3	81	A5	5	191
25/2	0.5	8	8	1/8	1/8	2/4	1	1	1/8			1/8	1	1	7	85	C#6	6	180
151/12	0.08333333333333333	8	8	7/48	7/48	2/4	2	1	1/48			1/32	2/3		4	76	E5	5	192
38/3	0.08333333333333333	8	8	1/6	1/6	2/4	2	1	1/48			1/32	2/3		7	73	C#5	5	193
51/4	0.08333333333333333	8	8	3/16	3/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	194
77/6	0.08333333333333333	8	8	5/24	5/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	195
155/12	0.08333333333333333	8	8	11/48	11/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	196
13	0.08333333333333333	8	8	1/4	1/4	2/4	2	1	1/48			1/32	2/3		6	54	F#3	3	197
13	0.3333333333333333	8	8	1/4	1/4	2/4	1	1	1/12			1/8	2/3	-1	8	80	G#5	5	181
13	0.3333333333333333	8	8	1/4	1/4	2/4	1	1	1/12			1/8	2/3	-1	7	85	C#6	6	181
157/12	0.08333333333333333	8	8	13/48	13/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	198
79/6	0.08333333333333333	8	8	7/24	7/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	199
53/4	0.08333333333333333	8	8	5/16	5/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	200
40/3	0.08333333333333333	8	8	1/3	1/3	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	201
40/3	0.3333333333333333	8	8	1/3	1/3	2/4	1	1	1/12			1/8	2/3		7	73	C#5	5	182
40/3	0.3333333333333333	8	8	1/3	1/3	2/4	1	1	1/12			1/8	2/3		8	80	G#5	5	182
161/12	0.08333333333333333	8	8	17/48	17/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	202
27/2	0.08333333333333333	8	8	3/8	3/8	2/4	2	1	1/48			1/32	2/3		6	54	F#3	3	203
163/12	0.08333333333333333	8	8	19/48	19/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	204
41/3	0.08333333333333333	8	8	5/12	5/12	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	205
41/3	0.3333333333333333	8	8	5/12	5/12	2/4	1	1	1/12			1/8	2/3		4	76	E5	5	183
41/3	0.3333333333333333	8	8	5/12	5/12	2/4	1	1	1/12			1/8	2/3		6	78	F#5	5	183
55/4	0.08333333333333333	8	8	7/16	7/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	206
83/6	0.08333333333333333	8	8	11/24	11/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	207
167/12	0.08333333333333333	8	8	23/48	23/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	208
14	0.08333333333333333	9	9	0	0	2/4	2	1	1/48			1/32	2/3		6	54	F#3	3	215
14	0.5	9	9	0	0	2/4	1	1	1/8			1/8	1		3	81	A5	5	209
14	0.5	9	9	0	0	2/4	1	1	1/8			1/8	1		4	88	E6	6	209
169/12	0.08333333333333333	9	9	1/48	1/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	216
85/6	0.08333333333333333	9	9	1/24	1/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	217
57/4	0.08333333333333333	9	9	1/16	1/16	2/4	2	1	1/48			1/32	2/3		8	68	G#4	4	218
57/4	0.6666666666666666	9	9	1/16	1/16	2/4	2	2	1/6			1/4	2/3		8	68	G#4	4	239
