quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	0.08333333333333333	1	1	0	0	2/4	2	1	1/48			1/32	2/3		6	54	F#3	3	5
0	0.5	1	1	0	0	2/4	1	1	1/8			1/8	1		3	81	A5	5	0
0	0.5	1	1	0	0	2/4	1	1	1/8			1/8	1		4	88	E6	6	0
1/12	0.08333333333333333	1	1	1/48	1/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	6
1/6	0.08333333333333333	1	1	1/24	1/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	7
1/4	0.08333333333333333	1	1	1/16	1/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	8
1/3	0.08333333333333333	1	1	1/12	1/12	2/4	2	1	1/48			1/32	2/3		7	73	C#5	5	9
5/12	0.08333333333333333	1	1	5/48	5/48	2/4	2	1	1/48			1/32	2/3		4	76	E5	5	10
1/2	0.5	1	1	1/8	1/8	2/4	1	1	1/8			1/8	1	1	8	80	G#5	5	1
1/2	0.08333333333333333	1	1	1/8	1/8	2/4	2	1	1/48			1/32	2/3		3	81	A5	5	11
1/2	0.5	1	1	1/8	1/8	2/4	1	1	1/8			1/8	1	1	7	85	C#6	6	1
7/12	0.08333333333333333	1	1	7/48	7/48	2/4	2	1	1/48			1/32	2/3		4	76	E5	5	12
2/3	0.08333333333333333	1	1	1/6	1/6	2/4	2	1	1/48			1/32	2/3		7	73	C#5	5	13
3/4	0.08333333333333333	1	1	3/16	3/16	2/4	2	1	1/48			1/32	2/3		3	69	A4	4	14
5/6	0.08333333333333333	1	1	5/24	5/24	2/4	2	1	1/48			1/32	2/3		4	64	E4	4	15
11/12	0.08333333333333333	1	1	11/48	11/48	2/4	2	1	1/48			1/32	2/3		7	61	C#4	4	16
1	0.08333333333333333	1	1	1/4	1/4	2/4	2	1	1/48			1/32	2/3		6	54	F#3	3	17
1	0.3333333333333333	1	1	1/4	1/4	2/4	1	1	1/12			1/8	2/3	-1	8	80	G#5	5	2
