quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	0.5	1	1	0	0	4/4	2	1	1/8			1/8	1		4	64	E4	4	20
0	0.5	1	1	0	0	4/4	2	1	1/8			1/8	1		5	71	B4	4	20
0	0.25	1	1	0	0	4/4	1	1	1/16			1/16	1		9	75	D#5	5	0
1/4	0.25	1	1	1/16	1/16	4/4	1	1	1/16			1/16	1		8	80	G#5	5	1
1/2	0.5	1	1	1/8	1/8	4/4	2	1	1/8			1/8	1		8	68	G#4	4	21
1/2	0.5	1	1	1/8	1/8	4/4	2	1	1/8			1/8	1		4	76	E5	5	21
1/2	0.25	1	1	1/8	1/8	4/4	1	1	1/16			1/16	1		9	87	D#6	6	2
3/4	0.25	1	1	3/16	3/16	4/4	1	1	1/16			1/16	1		6	90	F#6	6	3
1	0.5	1	1	1/4	1/4	4/4	2	1	1/8			1/8	1		4	76	E5	5	22
1	0.5	1	1	1/4	1/4	4/4	2	1	1/8			1/8	1		5	83	B5	5	22
1	0.25	1	1	1/4	1/4	4/4	1	1	1/16			1/16	1		9	87	D#6	6	4
5/4	0.25	1	1	5/16	5/16	4/4	1	1	1/16			1/16	1		8	80	G#5	5	5
3/2	0.5	1	1	3/8	3/8	4/4	2	1	1/8			1/8	1		3	69	A4	4	23
3/2	0.125	1	1	3/8	3/8	4/4	1	1	1/32			1/32	1		7	73	C#5	5	6
3/2	0.5	1	1	3/8	3/8	4/4	2	1	1/8			1/8	1		4	76	E5	5	23
13/8	0.125	1	1	13/32	13/32	4/4	1	1	1/32			1/32	1		8	80	G#5	5	7
7/4	0.125	1	1	7/16	7/16	4/4	1	1	1/32			1/32	1		7	85	C#6	6	8
15/8	0.125	1	1	15/32	15/32	4/4	1	1	1/32			1/32	1		4	88	E6	6	9
2	0.5	1	1	1/2	1/2	4/4	2	1	1/8			1/8	1		4	64	E4	4	24
2	0.5	1	1	1/2	1/2	4/4	2	1	1/8			1/8	1		5	71	B4	4	24
2	0.25	1	1	1/2	1/2	4/4	1	1	1/16			1/16	1		9	75	D#5	5	10
9/4	0.25	1	1	9/16	9/16	4/4	1	1	1/16			1/16	1		8	80	G#5	5	11
5/2	0.5	1	1	5/8	5/8	4/4	2	1	1/8			1/8	1		8	68	G#4	4	25
5/2	0.5	1	1	5/8	5/8	4/4	2	1	1/8			1/8	1		4	76	E5	5	25
5/2	0.25	1	1	5/8	5/8	4/4	1	1	1/16			1/16	1		9	87	D#6	6	12
11/4	0.25	1	1	11/16	11/16	4/4	1	1	1/16			1/16	1		6	90	F#6	6	13
3	0.5	1	1	3/4	3/4	4/4	2	1	1/8			1/8	1		4	76	E5	5	26
3	0.5	1	1	3/4	3/4	4/4	2	1	1/8			1/8	1		5	83	B5	5	26
3	0.25	1	1	3/4	3/4	4/4	1	1	1/16			1/16	1		9	87	D#6	6	14
13/4	0.25	1	1	13/16	13/16	4/4	1	1	1/16			1/16	1		8	80	G#5	5	15
7/2	0.5	1	1	7/8	7/8	4/4	2	1	1/8			1/8	1		3	69	A4	4	27
7/2	0.125	1	1	7/8	7/8	4/4	1	1	1/32			1/32	1		7	73	C#5	5	16
7/2	0.5	1	1	7/8	7/8	4/4	2	1	1/8			1/8	1		4	76	E5	5	27
29/8	0.125	1	1	29/32	29/32	4/4	1	1	1/32			1/32	1		8	80	G#5	5	17
15/4	0.125	1	1	15/16	15/16	4/4	1	1	1/32			1/32	1		7	85	C#6	6	18
31/8	0.125	1	1	31/32	31/32	4/4	1	1	1/32			1/32	1		4	88	E6	6	19
4	0.5	2	2	0	0	2/4	2	1	1/8			1/8	1		4	64	E4	4	36
4	0.5	2	2	0	0	2/4	2	1	1/8			1/8	1		5	71	B4	4	36
4	0.25	2	2	0	0	2/4	1	1	1/16			1/16	1		9	75	D#5	5	28
17/4	0.25	2	2	1/16	1/16	2/4	1	1	1/16			1/16	1		8	80	G#5	5	29
9/2	0.5	2	2	1/8	1/8	2/4	2	1	1/8			1/8	1		8	68	G#4	4	37
9/2	0.5	2	2	1/8	1/8	2/4	2	1	1/8			1/8	1		4	76	E5	5	37
9/2	0.25	2	2	1/8	1/8	2/4	1	1	1/16			1/16	1		9	87	D#6	6	30
19/4	0.25	2	2	3/16	3/16	2/4	1	1	1/16			1/16	1		6	90	F#6	6	31
5	0.25	2	2	1/4	1/4	2/4	1	1	1/16			1/16	1		8	68	G#4	4	32
5	0.5	2	2	1/4	1/4	2/4	2	1	1/8			1/8	1		5	71	B4	4	38
5	0.5	2	2	1/4	1/4	2/4	2	1	1/8			1/8	1		4	76	E5	5	38
21/4	0.25	2	2	5/16	5/16	2/4	1	1	1/16			1/16	1		9	75	D#5	5	33
11/2	0.5	2	2	3/8	3/8	2/4	2	1	1/8			1/8	1		4	76	E5	5	39
11/2	0.25	2	2	3/8	3/8	2/4	1	1	1/16			1/16	1		8	80	G#5	5	34
11/2	0.5	2	2	3/8	3/8	2/4	2	1	1/8			1/8	1		5	83	B5	5	39
23/4	0.25	2	2	7/16	7/16	2/4	1	1	1/16			1/16	1		5	83	B5	5	35
6	0.25	3	3	0	0	4/4	1	1	1/16			1/16	1		8	68	G#4	4	40
6	0.5	3	3	0	0	4/4	2	1	1/8			1/8	1		3	69	A4	4	60
6	0.5	3	3	0	0	4/4	2	1	1/8			1/8	1		4	76	E5	5	60
25/4	0.25	3	3	1/16	1/16	4/4	1	1	1/16			1/16	1		7	73	C#5	5	41
13/2	0.5	3	3	1/8	1/8	4/4	2	1	1/8			1/8	1		7	73	C#5	5	61
13/2	0.25	3	3	1/8	1/8	4/4	1	1	1/16			1/16	1		8	80	G#5	5	42
13/2	0.5	3	3	1/8	1/8	4/4	2	1	1/8			1/8	1		3	81	A5	5	61
27/4	0.25	3	3	3/16	3/16	4/4	1	1	1/16			1/16	1		7	85	C#6	6	43
7	0.25	3	3	1/4	1/4	4/4	1	1	1/16			1/16	1		8	80	G#5	5	44
7	0.5	3	3	1/4	1/4	4/4	2	1	1/8			1/8	1		3	81	A5	5	62
7	0.5	3	3	1/4	1/4	4/4	2	1	1/8			1/8	1		4	88	E6	6	62
29/4	0.25	3	3	5/16	5/16	4/4	1	1	1/16			1/16	1		7	73	C#5	5	45
15/2	0.5	3	3	3/8	3/8	4/4	2	1	1/8			1/8	1		2	62	D4	4	63
15/2	0.125	3	3	3/8	3/8	4/4	1	1	1/32			1/32	1		6	66	F#4	4	46
15/2	0.5	3	3	3/8	3/8	4/4	2	1	1/8			1/8	1		6	66	F#4	4	63
15/2	0.5	3	3	3/8	3/8	4/4	2	1	1/8			1/8	1		12	72	B#4	4	63
61/8	0.125	3	3	13/32	13/32	4/4	1	1	1/32			1/32	1		12	72	B#4	4	47
31/4	0.125	3	3	7/16	7/16	4/4	1	1	1/32			1/32	1		4	76	E5	5	48
63/8	0.125	3	3	15/32	15/32	4/4	1	1	1/32			1/32	1		8	80	G#5	5	49
8	0.25	3	3	1/2	1/2	4/4	1	1	1/16			1/16	1		8	68	G#4	4	50
8	0.5	3	3	1/2	1/2	4/4	2	1	1/8			1/8	1		3	69	A4	4	64
8	0.5	3	3	1/2	1/2	4/4	2	1	1/8			1/8	1		4	76	E5	5	64
33/4	0.25	3	3	9/16	9/16	4/4	1	1	1/16			1/16	1		7	73	C#5	5	51
17/2	0.5	3	3	5/8	5/8	4/4	2	1	1/8			1/8	1		7	73	C#5	5	65
17/2	0.25	3	3	5/8	5/8	4/4	1	1	1/16			1/16	1		8	80	G#5	5	52
17/2	0.5	3	3	5/8	5/8	4/4	2	1	1/8			1/8	1		3	81	A5	5	65
35/4	0.25	3	3	11/16	11/16	4/4	1	1	1/16			1/16	1		7	85	C#6	6	53
9	0.25	3	3	3/4	3/4	4/4	1	1	1/16			1/16	1		8	80	G#5	5	54
9	0.5	3	3	3/4	3/4	4/4	2	1	1/8			1/8	1		3	81	A5	5	66
9	0.5	3	3	3/4	3/4	4/4	2	1	1/8			1/8	1		4	88	E6	6	66
37/4	0.25	3	3	13/16	13/16	4/4	1	1	1/16			1/16	1		7	73	C#5	5	55
