mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	diminuendo_line	decrescendo_hairpin	crescendo_hairpin	Ottava:8vb	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	Pedal_Gardez la Ped. jusqu'à   <sym>keyboardPedalUp</sym>	TextLine	TextLine_ra	TextLine_len
1	1	0	0	0.0	0	0	Dynamic	6/8	1	1	0						other-dynamics																			
1	1	0	0	0.0	0	0	Tempo	6/8	1	1	0									Assezvif.𝅘𝅥.=92	138.0	Assezvif.𝅘𝅥.	92.0	0.0												
1	1	1/2	1/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	0																				
1	1	3/2	3/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	1		articAccentAbove																		
1	1	5/2	5/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	2																				
1	1	0	0	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	3		articAccentStaccatoBelow																		
1	1	1	1	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	4		articStaccatoBelow																		
1	1	2	2	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	5		articStaccatoBelow																		
1	1	5/2	5/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	6		articStaccatoBelow																		
2	2	7/2	7/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	7																				
2	2	5	5	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	8																				
2	2	11/2	11/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	9																				
2	2	3	3	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	10		articAccentStaccatoBelow																		
2	2	4	4	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	11		articStaccatoBelow																		
2	2	9/2	9/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	12		articAccentStaccatoBelow																		
2	2	5	5	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	13		articStaccatoBelow																		
2	2	11/2	11/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	14		articStaccatoBelow																		
3	3	13/2	13/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	15																				
3	3	15/2	15/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	16		articAccentAbove																		
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	17																				
3	3	6	6	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	18		articAccentStaccatoBelow																		
3	3	7	7	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	19		articStaccatoBelow																		
3	3	8	8	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	20		articStaccatoBelow																		
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	21		articStaccatoBelow																		
4	4	19/2	19/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	22																				
4	4	11	11	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	23																				
4	4	23/2	23/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	24																				
4	4	9	9	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	25		articAccentStaccatoBelow																		
4	4	10	10	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	26		articStaccatoBelow																		
4	4	21/2	21/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	27		articAccentStaccatoBelow																		
4	4	11	11	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	28		articStaccatoBelow																		
4	4	23/2	23/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	29		articStaccatoBelow																		
5	5	25/2	25/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	30																				
5	5	27/2	27/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	31		articAccentAbove																		
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	32																				
5	5	12	12	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	33		articAccentStaccatoBelow																		
5	5	13	13	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	34		articStaccatoBelow																		
