mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8vb	Ottava:8va	crescendo_line	diminuendo_line	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	Dynamic	2/4	1	1	0						pp																
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0									𝅘𝅥𝅮=100	50.0	𝅘𝅥𝅮	100.0	0.0									
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0									D'unrythmesouple	92.0			1.0									
1	1	0	0	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	0									0								
1	1	1/2	1/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	1									0								
1	1	1	1	0.3333333333333333	1/4	1/4	Chord	2/4	1	1	1/12			1/8	2/3	2									0								
1	1	4/3	4/3	0.3333333333333333	1/3	1/3	Chord	2/4	1	1	1/12			1/8	2/3	3									0								
1	1	5/3	5/3	0.3333333333333333	5/12	5/12	Chord	2/4	1	1	1/12			1/8	2/3	4																	
1	1	0	0	0.0	0	0	Spanner	2/4	2	1	0															0							
1	1	0	0	0.08333333333333333	0	0	Chord	2/4	2	1	1/48			1/32	2/3	5									1	0							
1	1	1/12	1/12	0.08333333333333333	1/48	1/48	Chord	2/4	2	1	1/48			1/32	2/3	6									1	0							
1	1	1/6	1/6	0.08333333333333333	1/24	1/24	Chord	2/4	2	1	1/48			1/32	2/3	7									1	0							
1	1	1/4	1/4	0.08333333333333333	1/16	1/16	Chord	2/4	2	1	1/48			1/32	2/3	8									1	0							
1	1	1/3	1/3	0.08333333333333333	1/12	1/12	Chord	2/4	2	1	1/48			1/32	2/3	9									1	0							
1	1	5/12	5/12	0.08333333333333333	5/48	5/48	Chord	2/4	2	1	1/48			1/32	2/3	10									1	0							
1	1	1/2	1/2	0.08333333333333333	1/8	1/8	Chord	2/4	2	1	1/48			1/32	2/3	11									1	0							
1	1	7/12	7/12	0.08333333333333333	7/48	7/48	Chord	2/4	2	1	1/48			1/32	2/3	12									1	0							
1	1	2/3	2/3	0.08333333333333333	1/6	1/6	Chord	2/4	2	1	1/48			1/32	2/3	13									1	0							
1	1	3/4	3/4	0.08333333333333333	3/16	3/16	Chord	2/4	2	1	1/48			1/32	2/3	14									1	0							
1	1	5/6	5/6	0.08333333333333333	5/24	5/24	Chord	2/4	2	1	1/48			1/32	2/3	15									1	0							
1	1	11/12	11/12	0.08333333333333333	11/48	11/48	Chord	2/4	2	1	1/48			1/32	2/3	16										0							
1	1	1	1	0.08333333333333333	1/4	1/4	Chord	2/4	2	1	1/48			1/32	2/3	17									2	0							
1	1	13/12	13/12	0.08333333333333333	13/48	13/48	Chord	2/4	2	1	1/48			1/32	2/3	18									2	0							
1	1	7/6	7/6	0.08333333333333333	7/24	7/24	Chord	2/4	2	1	1/48			1/32	2/3	19									2	0							
1	1	5/4	5/4	0.08333333333333333	5/16	5/16	Chord	2/4	2	1	1/48			1/32	2/3	20									2	0							
1	1	4/3	4/3	0.08333333333333333	1/3	1/3	Chord	2/4	2	1	1/48			1/32	2/3	21									2	0							
1	1	17/12	17/12	0.08333333333333333	17/48	17/48	Chord	2/4	2	1	1/48			1/32	2/3	22									2	0							
