mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<i>2 Ped.</i>	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin	diminuendo_line	Ottava:8vb	Ottava:8va
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0								Trèslent𝅘𝅥𝅮=60	35.0	Trèslent𝅘𝅥𝅮	60.0	1.0									
1	1	0	0	0.0	0	0	StaffText	4/4	1	1	0							<i>très doux</i>														
1	1	0	0	0.0	0	0	Dynamic	4/4	1	1	0					pp																
1	1	0	0	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	0		articAccentAbove							0								
1	1	1/2	1/2	1.5	1/8	1/8	Chord	4/4	1	1	3/8		1/4	3/2	1		articStaccatoAbove															
1	1	2	2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	2		articAccentAbove							1								
1	1	5/2	5/2	1.5	5/8	5/8	Chord	4/4	1	1	3/8		1/4	3/2	3		articStaccatoAbove															
1	1	0	0	0.0	0	0	Spanner	4/4	2	1	0														0							
2	2	4	4	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=40	40.0	𝅘𝅥	40.0	0.0									
2	2	4	4	0.08333333333333333	0	0	Chord	4/4	1	1	1/48		1/32	2/3	4									2								
2	2	49/12	49/12	0.08333333333333333	1/48	1/48	Chord	4/4	1	1	1/48		1/32	2/3	5									2								
2	2	25/6	25/6	0.08333333333333333	1/24	1/24	Chord	4/4	1	1	1/48		1/32	2/3	6									2								
2	2	17/4	17/4	0.08333333333333333	1/16	1/16	Chord	4/4	1	1	1/48		1/32	2/3	7									2								
2	2	13/3	13/3	0.0	1/12	1/12	Tempo	4/4	1	1	0								𝅘𝅥=20	20.0	𝅘𝅥	20.0	0.0	2								
2	2	13/3	13/3	0.25	1/12	1/12	Chord	4/4	1	1	1/16		1/16	1	8									2								
2	2	55/12	55/12	0.08333333333333333	7/48	7/48	Chord	4/4	1	1	1/48		1/32	2/3	9									2								
2	2	14/3	14/3	0.0	1/6	1/6	Tempo	4/4	1	1	0								𝅘𝅥=35	35.0	𝅘𝅥	35.0	0.0	2								
2	2	14/3	14/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	1	1/12		1/8	2/3	10									2								
2	2	5	5	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	11																	
2	2	6	6	0.0	1/2	1/2	Tempo	4/4	1	1	0								𝅘𝅥=40	40.0	𝅘𝅥	40.0	0.0									
2	2	6	6	0.08333333333333333	1/2	1/2	Chord	4/4	1	1	1/48		1/32	2/3	12									3								
