mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<i>2 Ped.</i>	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin	diminuendo_line	Ottava:8vb	Ottava:8va
2	2	73/12	73/12	0.08333333333333333	25/48	25/48	Chord	4/4	1	1	1/48		1/32	2/3	13									3								
2	2	37/6	37/6	0.08333333333333333	13/24	13/24	Chord	4/4	1	1	1/48		1/32	2/3	14									3								
2	2	25/4	25/4	0.08333333333333333	9/16	9/16	Chord	4/4	1	1	1/48		1/32	2/3	15									3								
2	2	19/3	19/3	0.0	7/12	7/12	Tempo	4/4	1	1	0								𝅘𝅥=20	20.0	𝅘𝅥	20.0	0.0	3								
2	2	19/3	19/3	0.25	7/12	7/12	Chord	4/4	1	1	1/16		1/16	1	16									3								
2	2	79/12	79/12	0.08333333333333333	31/48	31/48	Chord	4/4	1	1	1/48		1/32	2/3	17									3								
2	2	20/3	20/3	0.0	2/3	2/3	Tempo	4/4	1	1	0								𝅘𝅥=35	35.0	𝅘𝅥	35.0	0.0	3								
2	2	20/3	20/3	0.3333333333333333	2/3	2/3	Chord	4/4	1	1	1/12		1/8	2/3	18									3								
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	19																	
2	2	4	4	0.0	0	0	Spanner	4/4	2	1	0																					
2	2	4	4	0.0	0	0	Spanner	4/4	2	1	0														1							
3	3	8	8	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	20		articAccentStaccatoAbove							4								
3	3	17/2	17/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4		1/4	1	21		articStaccatoAbove															
3	3	19/2	19/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	22		articAccentStaccatoAbove							5								
3	3	10	10	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	23		articStaccatoAbove															
3	3	8	8	0.0	0	0	Spanner	3/4	2	1	0																					
3	3	8	8	0.0	0	0	Spanner	3/4	2	1	0														2							
4	4	11	11	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=40	40.0	𝅘𝅥	40.0	0.0									
4	4	11	11	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	24																	
4	4	13	13	0.0	1/2	1/2	StaffText	4/4	1	1	0							<i>m.g.</i>														
4	4	13	13	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	25		articAccentStaccatoAbove							6								
4	4	40/3	40/3	0.0	7/12	7/12	Tempo	4/4	1	1	0								𝅘𝅥=30	30.0	𝅘𝅥	30.0	0.0	6								
4	4	27/2	27/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	26		articStaccatoAbove															
4	4	14	14	0.0	3/4	3/4	Tempo	4/4	1	1	0								𝅘𝅥=40	40.0	𝅘𝅥	40.0	0.0									
4	4	11	11	0.0	0	0	Dynamic	4/4	1	2	0					pp																
4	4	11	11	0.0	0	0	Spanner	4/4	1	2	0																		0			
4	4	11	11	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	27		articAccentAbove							7					0			
4	4	12	12	0.0	1/4	1/4	Spanner	4/4	1	2	0																					
4	4	12	12	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	28																	
4	4	14	14	0.0	3/4	3/4	Spanner	4/4	1	2	0																		1			
4	4	14	14	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	29		articAccentAbove							8					1			
4	4	11	11	0.0	0	0	Spanner	4/4	2	1	0																					
4	4	34/3	34/3	0.0	1/12	1/12	StaffText	4/4	2	1	0							m.d.														
4	4	34/3	34/3	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	30																	
4	4	35/3	35/3	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	31																	
4	4	12	12	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	32																	
4	4	37/3	37/3	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	33																	
4	4	38/3	38/3	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	34																	
4	4	13	13	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	35																	
4	4	40/3	40/3	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	36																	
4	4	41/3	41/3	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	37																	
4	4	14	14	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	38																	
4	4	43/3	43/3	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	39																	
4	4	44/3	44/3	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	40																	
4	4	34/3	34/3	0.3333333333333333	1/12	1/12	Chord	4/4	2	2	1/12		1/8	2/3	41																	
4	4	35/3	35/3	0.3333333333333333	1/6	1/6	Chord	4/4	2	2	1/12		1/8	2/3	42																	
4	4	12	12	2.0	1/4	1/4	Chord	4/4	2	2	1/2		1/2	1	43																	
4	4	43/3	43/3	0.3333333333333333	5/6	5/6	Chord	4/4	2	2	1/12		1/8	2/3	44																	
4	4	44/3	44/3	0.3333333333333333	11/12	11/12	Chord	4/4	2	2	1/12		1/8	2/3	45																	
5	5	16	16	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	46		articAccentStaccatoAbove							9								
5	5	49/3	49/3	0.0	1/3	1/3	Tempo	4/4	1	1	0								𝅘𝅥=30	30.0	𝅘𝅥	30.0	0.0	9								
5	5	33/2	33/2	1.0	3/8	3/8	Chord	4/4	1	1	1/4		1/4	1	47		articStaccatoAbove															
5	5	17	17	0.0	1/2	1/2	Tempo	4/4	1	1	0								𝅘𝅥=35	35.0	𝅘𝅥	35.0	0.0									
5	5	15	15	0.0	0	0	Spanner	4/4	1	2	0																					
5	5	15	15	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	48																	
5	5	17	17	0.0	1/2	1/2	Dynamic	4/4	1	2	0					ppp																
5	5	17	17	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	49		articAccentAbove							10								
5	5	18	18	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	50																	
5	5	15	15	0.3333333333333333	0	0	Chord	4/4	2	1	1/12		1/8	2/3	51																	
5	5	46/3	46/3	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	52																	
5	5	47/3	47/3	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	53																	
5	5	16	16	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	54																	
5	5	49/3	49/3	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	55																	
5	5	50/3	50/3	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	56																	
5	5	17	17	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	57																	
5	5	52/3	52/3	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	58																	
5	5	53/3	53/3	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	59																	
5	5	18	18	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	60																	
5	5	55/3	55/3	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	61																	
5	5	56/3	56/3	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	62																	
5	5	15	15	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	63																	
5	5	17	17	0.3333333333333333	1/2	1/2	Chord	4/4	2	2	1/12		1/8	2/3	64									11								
5	5	52/3	52/3	0.3333333333333333	7/12	7/12	Chord	4/4	2	2	1/12		1/8	2/3	65									11								
5	5	53/3	53/3	0.3333333333333333	2/3	2/3	Chord	4/4	2	2	1/12		1/8	2/3	66									11								
5	5	18	18	0.3333333333333333	3/4	3/4	Chord	4/4	2	2	1/12		1/8	2/3	67									11								
5	5	55/3	55/3	0.3333333333333333	5/6	5/6	Chord	4/4	2	2	1/12		1/8	2/3	68									11								
5	5	56/3	56/3	0.3333333333333333	11/12	11/12	Chord	4/4	2	2	1/12		1/8	2/3	69									11								
6	6	19	19	0.0	0	0	Tempo	12/8	1	1	0								𝅘𝅥space.=40	60.0	𝅘𝅥space.	40.0	0.0									
6	6	19	19	0.0	0	0	Spanner	12/8	1	1	0																	0				
6	6	19	19	1.0	0	0	Chord	12/8	1	1	1/4		1/4	1	70		articAccentBelow							12				0				
6	6	20	20	0.5	1/4	1/4	Chord	12/8	1	1	1/8		1/8	1	71													0				
6	6	41/2	41/2	0.0	3/8	3/8	Tempo	12/8	1	1	0								𝅘𝅥space.=45	68.0	𝅘𝅥space.	45.0	0.0					0				
6	6	41/2	41/2	1.0	3/8	3/8	Chord	12/8	1	1	1/4		1/4	1	72		articAccentBelow							13				0				
6	6	43/2	43/2	0.0	5/8	5/8	Tempo	12/8	1	1	0								𝅘𝅥space.=40	60.0	𝅘𝅥space.	40.0	0.0									
6	6	43/2	43/2	0.0	5/8	5/8	Spanner	12/8	1	1	0																					
6	6	43/2	43/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8		1/8	1	73																	
6	6	22	22	0.0	3/4	3/4	Tempo	12/8	1	1	0								𝅘𝅥space.=38	57.0	𝅘𝅥space.	38.0	0.0									
6	6	22	22	0.0	3/4	3/4	Spanner	12/8	1	1	0																		2			
6	6	22	22	1.5	3/4	3/4	Chord	12/8	1	1	3/8		1/4	3/2	74		articAccentAbove							14					2			
6	6	45/2	45/2	0.0	7/8	7/8	Tempo	12/8	1	1	0								𝅘𝅥space.=36	54.0	𝅘𝅥space.	36.0	0.0	14					2			
6	6	23	23	0.0	1	1	Tempo	12/8	1	1	0								𝅘𝅥space.=34	51.0	𝅘𝅥space.	34.0	0.0	14					2			
6	6	47/2	47/2	0.0	9/8	9/8	Tempo	12/8	1	1	0								𝅘𝅥space.=32	48.0	𝅘𝅥space.	32.0	0.0						2			
6	6	47/2	47/2	1.0	9/8	9/8	Chord	12/8	1	1	1/4		1/4	1	75														2			
6	6	24	24	0.0	5/4	5/4	Tempo	12/8	1	1	0								𝅘𝅥space.=28	42.0	𝅘𝅥space.	28.0	0.0						2			
6	6	49/2	49/2	0.0	11/8	11/8	Tempo	12/8	1	1	0								𝅘𝅥space.=22	33.0	𝅘𝅥space.	22.0	0.0						2			
6	6	47/2	47/2	0.5	9/8	9/8	Chord	12/8	1	2	1/8		1/8	1	76														2			
6	6	24	24	0.5	5/4	5/4	Chord	12/8	1	2	1/8		1/8	1	77														2			
6	6	49/2	49/2	0.5	11/8	11/8	Chord	12/8	1	2	1/8		1/8	1	78														2			
6	6	19	19	0.5	0	0	Chord	12/8	2	1	1/8		1/8	1	79																	
6	6	39/2	39/2	0.5	1/8	1/8	Chord	12/8	2	1	1/8		1/8	1	80																	
6	6	20	20	0.5	1/4	1/4	Chord	12/8	2	1	1/8		1/8	1	81																	
6	6	41/2	41/2	0.5	3/8	3/8	Chord	12/8	2	1	1/8		1/8	1	82																	
6	6	21	21	0.5	1/2	1/2	Chord	12/8	2	1	1/8		1/8	1	83																	
6	6	43/2	43/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8		1/8	1	84																	
6	6	22	22	0.5	3/4	3/4	Chord	12/8	2	1	1/8		1/8	1	85																	
6	6	45/2	45/2	0.5	7/8	7/8	Chord	12/8	2	1	1/8		1/8	1	86																	
6	6	23	23	0.5	1	1	Chord	12/8	2	1	1/8		1/8	1	87																	
6	6	19	19	0.5	0	0	Chord	12/8	2	2	1/8		1/8	1	88									11								
6	6	39/2	39/2	0.5	1/8	1/8	Chord	12/8	2	2	1/8		1/8	1	89									11								
6	6	20	20	0.5	1/4	1/4	Chord	12/8	2	2	1/8		1/8	1	90									11								
6	6	41/2	41/2	0.5	3/8	3/8	Chord	12/8	2	2	1/8		1/8	1	91									11								
6	6	21	21	0.5	1/2	1/2	Chord	12/8	2	2	1/8		1/8	1	92									11								
6	6	43/2	43/2	0.5	5/8	5/8	Chord	12/8	2	2	1/8		1/8	1	93									11								
6	6	22	22	0.5	3/4	3/4	Chord	12/8	2	2	1/8		1/8	1	94									11								
6	6	45/2	45/2	0.5	7/8	7/8	Chord	12/8	2	2	1/8		1/8	1	95									11								
6	6	23	23	0.5	1	1	Chord	12/8	2	2	1/8		1/8	1	96									11								
6	6	47/2	47/2	1.5	9/8	9/8	Chord	12/8	2	2	3/8		1/4	3/2	97																	
7	7	25	25	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=30	30.0	𝅘𝅥	30.0	0.0									
7	7	25	25	0.0	0	0	Spanner	4/4	1	1	0																					
7	7	25	25	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	98		articAccentStaccatoAbove							15								
7	7	76/3	76/3	0.0	1/12	1/12	Tempo	4/4	1	1	0								𝅘𝅥=35	35.0	𝅘𝅥	35.0	0.0	15								
7	7	51/2	51/2	1.5	1/8	1/8	Chord	4/4	1	1	3/8		1/4	3/2	99		articStaccatoAbove															
7	7	26	26	0.0	1/4	1/4	Tempo	4/4	1	1	0								𝅘𝅥=40	40.0	𝅘𝅥	40.0	0.0									
7	7	27	27	0.0	1/2	1/2	Tempo	4/4	1	1	0								𝅘𝅥=35	35.0	𝅘𝅥	35.0	0.0									
7	7	27	27	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	100		articAccentStaccatoAbove							16								
7	7	55/2	55/2	1.5	5/8	5/8	Chord	4/4	1	1	3/8		1/4	3/2	101		articStaccatoAbove															
7	7	25	25	0.0	0	0	Dynamic	4/4	1	2	0					pp																
7	7	25	25	0.3333333333333333	0	0	Chord	4/4	1	2	1/12		1/8	2/3	102																	
7	7	76/3	76/3	0.0	1/12	1/12	StaffText	4/4	1	2	0							m.g.														
7	7	76/3	76/3	0.3333333333333333	1/12	1/12	Chord	4/4	1	2	1/12		1/8	2/3	103									17								
7	7	77/3	77/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	2	1/12		1/8	2/3	104																	
7	7	26	26	0.3333333333333333	1/4	1/4	Chord	4/4	1	2	1/12		1/8	2/3	105																	
7	7	79/3	79/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	2	1/12		1/8	2/3	106									18								
7	7	80/3	80/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	2	1/12		1/8	2/3	107																	
7	7	27	27	0.3333333333333333	1/2	1/2	Chord	4/4	1	2	1/12		1/8	2/3	108																	
7	7	82/3	82/3	0.3333333333333333	7/12	7/12	Chord	4/4	1	2	1/12		1/8	2/3	109									19								
7	7	83/3	83/3	0.3333333333333333	2/3	2/3	Chord	4/4	1	2	1/12		1/8	2/3	110																	
7	7	28	28	0.3333333333333333	3/4	3/4	Chord	4/4	1	2	1/12		1/8	2/3	111																	
7	7	85/3	85/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	2	1/12		1/8	2/3	112									20								
7	7	86/3	86/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	2	1/12		1/8	2/3	113																	
7	7	26	26	0.0	1/4	1/4	StaffText	4/4	2	1	0							m.d.														
7	7	26	26	3.0	1/4	1/4	Chord	4/4	2	1	3/4		1/2	3/2	114																	
7	7	25	25	4.0	0	0	Chord	4/4	2	2	1		1	1	115																	
8	8	88/3	88/3	0.0	1/12	1/12	Tempo	4/4	1	1	0								𝅘𝅥=40	40.0	𝅘𝅥	40.0	0.0									
8	8	88/3	88/3	0.08333333333333333	1/12	1/12	Chord	4/4	1	1	1/48		1/32	2/3	116									21								
8	8	353/12	353/12	0.08333333333333333	5/48	5/48	Chord	4/4	1	1	1/48		1/32	2/3	117									21								
8	8	59/2	59/2	0.08333333333333333	1/8	1/8	Chord	4/4	1	1	1/48		1/32	2/3	118									21								
8	8	355/12	355/12	0.08333333333333333	7/48	7/48	Chord	4/4	1	1	1/48		1/32	2/3	119									21								
8	8	89/3	89/3	0.0	1/6	1/6	Tempo	4/4	1	1	0								𝅘𝅥=30	30.0	𝅘𝅥	30.0	0.0	21								
8	8	89/3	89/3	0.25	1/6	1/6	Chord	4/4	1	1	1/16		1/16	1	120									21								
8	8	359/12	359/12	0.08333333333333333	11/48	11/48	Chord	4/4	1	1	1/48		1/32	2/3	121									21								
8	8	30	30	0.0	1/4	1/4	Tempo	4/4	1	1	0								𝅘𝅥=35	35.0	𝅘𝅥	35.0	0.0									
8	8	30	30	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	122																	
8	8	94/3	94/3	0.0	7/12	7/12	Tempo	4/4	1	1	0								𝅘𝅥=30	30.0	𝅘𝅥	30.0	0.0									
8	8	97/3	97/3	0.0	5/6	5/6	Tempo	4/4	1	1	0								𝅘𝅥=40	40.0	𝅘𝅥	40.0	0.0									
8	8	97/3	97/3	0.08333333333333333	5/6	5/6	Chord	4/4	1	1	1/48		1/32	2/3	123									22								
8	8	389/12	389/12	0.08333333333333333	41/48	41/48	Chord	4/4	1	1	1/48		1/32	2/3	124									22								
8	8	65/2	65/2	0.08333333333333333	7/8	7/8	Chord	4/4	1	1	1/48		1/32	2/3	125									22								
8	8	391/12	391/12	0.08333333333333333	43/48	43/48	Chord	4/4	1	1	1/48		1/32	2/3	126									22								
8	8	98/3	98/3	0.0	11/12	11/12	Tempo	4/4	1	1	0								𝅘𝅥=30	30.0	𝅘𝅥	30.0	0.0	22								
8	8	98/3	98/3	0.25	11/12	11/12	Chord	4/4	1	1	1/16		1/16	1	127									22								
8	8	395/12	395/12	0.0	47/48	47/48	Tempo	4/4	1	1	0								𝅘𝅥=20	20.0	𝅘𝅥	20.0	0.0	22								
8	8	395/12	395/12	0.08333333333333333	47/48	47/48	Chord	4/4	1	1	1/48		1/32	2/3	128									22								
8	8	29	29	0.3333333333333333	0	0	Chord	4/4	1	2	1/12		1/8	2/3	129																	
8	8	88/3	88/3	0.3333333333333333	1/12	1/12	Chord	4/4	1	2	1/12		1/8	2/3	130									23								
8	8	89/3	89/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	2	1/12		1/8	2/3	131																	
8	8	91/3	91/3	0.0	1/3	1/3	StaffText	4/4	1	2	0							m.d.														
8	8	91/3	91/3	0.0	1/3	1/3	Spanner	4/4	1	2	0																		3			
8	8	91/3	91/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	2	1/12		1/8	2/3	132									24					3			
8	8	92/3	92/3	0.0	5/12	5/12	Spanner	4/4	1	2	0																					
8	8	92/3	92/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	2	1/12		1/8	2/3	133																	
8	8	94/3	94/3	0.3333333333333333	7/12	7/12	Chord	4/4	1	2	1/12		1/8	2/3	134									25								
8	8	95/3	95/3	0.3333333333333333	2/3	2/3	Chord	4/4	1	2	1/12		1/8	2/3	135																	
8	8	32	32	0.3333333333333333	3/4	3/4	Chord	4/4	1	2	1/12		1/8	2/3	136																	
8	8	97/3	97/3	0.0	5/6	5/6	StaffText	4/4	1	2	0							m.g.														
8	8	97/3	97/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	2	1/12		1/8	2/3	137									26								
8	8	98/3	98/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	2	1/12		1/8	2/3	138																	
8	8	29	29	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	139																	
8	8	30	30	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	140		articAccentBelow															
8	8	31	31	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	141																	
9	9	33	33	0.0	0	0	Tempo	2/4	1	1	0								𝅘𝅥=35	35.0	𝅘𝅥	35.0	0.0									
9	9	33	33	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	142																	
9	9	34	34	0.0	1/4	1/4	Tempo	2/4	1	1	0								𝅘𝅥=30	30.0	𝅘𝅥	30.0	0.0									
9	9	103/3	103/3	0.0	1/3	1/3	Tempo	2/4	1	1	0								𝅘𝅥=25	25.0	𝅘𝅥	25.0	0.0									
9	9	100/3	100/3	0.0	1/12	1/12	Spanner	2/4	1	2	0																		4			
9	9	100/3	100/3	0.3333333333333333	1/12	1/12	Chord	2/4	1	2	1/12		1/8	2/3	143									27					4			
9	9	101/3	101/3	0.0	1/6	1/6	Spanner	2/4	1	2	0																					
9	9	101/3	101/3	0.3333333333333333	1/6	1/6	Chord	2/4	1	2	1/12		1/8	2/3	144																	
9	9	103/3	103/3	0.3333333333333333	1/3	1/3	Chord	2/4	1	2	1/12		1/8	2/3	145									28								
9	9	104/3	104/3	0.3333333333333333	5/12	5/12	Chord	2/4	1	2	1/12		1/8	2/3	146																	
9	9	33	33	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	147		articAccentBelow							29								
9	9	34	34	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	148																	
10	10	35	35	0.0	0	0	StaffText	4/4	1	1	0							expressif														
10	10	35	35	0.0	0	0	Dynamic	4/4	1	1	0					p																
10	10	35	35	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=13.5	14.0	𝅘𝅥	13.5	0.0									
10	10	35	35	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	149		articAccentStaccatoAbove							30								
10	10	106/3	106/3	0.0	1/12	1/12	Tempo	4/4	1	1	0								𝅘𝅥=35	35.0	𝅘𝅥	35.0	0.0	30								
10	10	71/2	71/2	1.5	1/8	1/8	Chord	4/4	1	1	3/8		1/4	3/2	150		articStaccatoAbove															
10	10	110/3	110/3	0.0	5/12	5/12	Tempo	4/4	1	1	0								𝅘𝅥=40	40.0	𝅘𝅥	40.0	0.0									
10	10	37	37	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	151		articAccentStaccatoAbove							31								
10	10	75/2	75/2	1.5	5/8	5/8	Chord	4/4	1	1	3/8		1/4	3/2	152		articStaccatoAbove															
10	10	115/3	115/3	0.0	5/6	5/6	Tempo	4/4	1	1	0								𝅘𝅥=35	35.0	𝅘𝅥	35.0	0.0									
10	10	106/3	106/3	0.0	1/12	1/12	Spanner	4/4	1	2	0																		5			
10	10	106/3	106/3	0.3333333333333333	1/12	1/12	Chord	4/4	1	2	1/12		1/8	2/3	153									32					5			
10	10	107/3	107/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	2	1/12		1/8	2/3	154									32					5			
10	10	36	36	0.3333333333333333	1/4	1/4	Chord	4/4	1	2	1/12		1/8	2/3	155									32					5			
10	10	109/3	109/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	2	1/12		1/8	2/3	156									32					5			
10	10	110/3	110/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	2	1/12		1/8	2/3	157									32					5			
10	10	37	37	0.3333333333333333	1/2	1/2	Chord	4/4	1	2	1/12		1/8	2/3	158									32					5			
10	10	112/3	112/3	0.3333333333333333	7/12	7/12	Chord	4/4	1	2	1/12		1/8	2/3	159									32					5			
10	10	113/3	113/3	0.3333333333333333	2/3	2/3	Chord	4/4	1	2	1/12		1/8	2/3	160									32					5			
10	10	38	38	0.3333333333333333	3/4	3/4	Chord	4/4	1	2	1/12		1/8	2/3	161									32					5			
10	10	115/3	115/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	2	1/12		1/8	2/3	162									32					5			
10	10	116/3	116/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	2	1/12		1/8	2/3	163														5			
10	10	35	35	0.0	0	0	Dynamic	4/4	2	1	0					pp																
10	10	35	35	4.0	0	0	Chord	4/4	2	1	1		1	1	164																	
11	11	39	39	0.0	0	0	Dynamic	4/4	1	1	0					pp																
11	11	39	39	0.3333333333333333	0	0	Chord	4/4	1	1	1/12		1/8	2/3	165																	
11	11	118/3	118/3	0.3333333333333333	1/12	1/12	Chord	4/4	1	1	1/12		1/8	2/3	166									33								
11	11	119/3	119/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	1	1/12		1/8	2/3	167									33								
11	11	40	40	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	168									33								
11	11	121/3	121/3	0.0	1/3	1/3	Tempo	4/4	1	1	0								𝅘𝅥=40	40.0	𝅘𝅥	40.0	0.0	33								
11	11	121/3	121/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	169									33								
11	11	122/3	122/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	170																	
11	11	124/3	124/3	0.3333333333333333	7/12	7/12	Chord	4/4	1	1	1/12		1/8	2/3	171									34								
