mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	6/8	3	1	D.I(+b2)					D	I		I(+b2)	I			+b2				M	0	0	2, 6, 3	-3	2	2	0	9	0.0	0.0	1.125	0.0
1	1	5/8	5/8	6/8	3	1	i6(+#3)	-2	-6	/		D	I		i6(+#3)	i		6	+#3				m	0	0	-1, 3, 2	6	2	-1	0	4	0.0	0.0	0.5	0.0
2	2	0	0	6/8	3	1	I(+b2)					D	I		I(+b2)	I			+b2				M	0	0	2, 6, 3	-3	2	2	0	5	0.0	0.0	0.625	0.0
2	2	3/8	3/8	6/8	3	1	v(+#3)					D	I		v(+#3)	v			+#3				m	0	0	3, 0, 4	7	3	3	1	4	0.2	0.125	0.5	0.2
2	2	5/8	5/8	6/8	3	1	IV(+b2)	-2	-9	/	ii6(+#3)	D	I		IV(+b2)	IV			+b2				M	0	0	1, 5, 2	-4	1	1	1	3	0.25	0.125	0.375	0.25
3	3	0	0	6/8	3	1	I(+b2)					D	I		I(+b2)	I			+b2				M	0	0	2, 6, 3	-3	2	2	0	9	0.0	0.0	1.125	0.0
3	3	5/8	5/8	6/8	3	1	i6(+#3)	-2	-6	/		D	I		i6(+#3)	i		6	+#3				m	0	0	-1, 3, 2	6	2	-1	0	4	0.0	0.0	0.5	0.0
4	4	0	0	6/8	3	1	I(+b2)					D	I		I(+b2)	I			+b2				M	0	0	2, 6, 3	-3	2	2	0	5	0.0	0.0	0.625	0.0
4	4	3/8	3/8	6/8	3	1	v(+#3)					D	I		v(+#3)	v			+#3				m	0	0	3, 0, 4	7	3	3	1	4	0.2	0.125	0.5	0.2
4	4	5/8	5/8	6/8	3	1	IV(+b2)	-2	-9	/	ii6(+#3)	D	I		IV(+b2)	IV			+b2				M	0	0	1, 5, 2	-4	1	1	1	3	0.25	0.125	0.375	0.25
