quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	0.5	1	1	0	0	2/4	3	1	f#.i7	f#	i		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
1/2	1.1666666666666667	1	1	1/8	1/8	2/4	3	1	i7(9)	f#	i		i7(9)	i		7	9				mm7	1	1	0, -3, 1, -2	2	0	0
5/3	0.8333333333333333	1	1	5/12	5/12	2/4	3	1	i7	f#	i		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
5/2	1.1666666666666665	2	2	1/8	1/8	2/4	3	1	i7(9)	f#	i		i7(9)	i		7	9				mm7	1	1	0, -3, 1, -2	2	0	0
11/3	0.8333333333333335	2	2	5/12	5/12	2/4	3	1	i7	f#	i		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
9/2	1.166666666666667	3	3	1/8	1/8	2/4	3	1	i7(9)	f#	i		i7(9)	i		7	9				mm7	1	1	0, -3, 1, -2	2	0	0
17/3	0.583333333333333	3	3	5/12	5/12	2/4	3	1	i7	f#	i		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
25/4	1.416666666666667	4	4	1/16	1/16	2/4	3	1	i7(9)	f#	i		i7(9)	i		7	9				mm7	1	1	0, -3, 1, -2	2	0	0
23/3	0.833333333333333	4	4	5/12	5/12	2/4	3	1	i7	f#	i		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
17/2	1.166666666666666	5	5	1/8	1/8	2/4	3	1	i7(9)	f#	i		i7(9)	i		7	9				mm7	1	1	0, -3, 1, -2	2	0	0
29/3	0.5833333333333339	6	6	1/6	5/12	2/4	3	1	i7	f#	i		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
41/4	1.416666666666666	7	7	1/16	1/16	2/4	3	1	i7(9)	f#	i		i7(9)	i		7	9				mm7	1	1	0, -3, 1, -2	2	0	0
35/3	0.8333333333333339	7	7	5/12	5/12	2/4	3	1	i7	f#	i		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
25/2	1.166666666666666	8	8	1/8	1/8	2/4	3	1	i7(9)	f#	i		i7(9)	i		7	9				mm7	1	1	0, -3, 1, -2	2	0	0
41/3	0.5833333333333339	8	8	5/12	5/12	2/4	3	1	i7	f#	i		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
57/4	1.416666666666666	9	9	1/16	1/16	2/4	3	1	i7(9)	f#	i		i7(9)	i		7	9				mm7	1	1	0, -3, 1, -2	2	0	0
47/3	0.8333333333333339	9	9	5/12	5/12	2/4	3	1	i7	f#	i		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
33/2	3.166666666666668	10	10	1/8	1/8	2/4	3	1	i7(9)	f#	i		i7(9)	i		7	9				mm7	1	1	0, -3, 1, -2	2	0	0
59/3	0.33333333333333215	11	11	5/12	5/12	2/4	3	1	i7\\	f#	i		i7	i		7				\\	mm7	1	1	0, -3, 1, -2		0	0
20	0.5	12	12	0	0	3/4	3	1	vii.i7(9)	f#	vii		i7(9)	i		7	9				mm7	1	1	0, -3, 1, -2	2	0	0
41/2	0.5	12	12	1/8	1/8	3/4	3	1	i7	f#	vii		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
21	0.5	12	12	1/4	1/4	3/4	3	1	i7(9)	f#	vii		i7(9)	i		7	9				mm7	1	1	0, -3, 1, -2	2	0	0
43/2	0.5	12	12	3/8	3/8	3/4	3	1	i7	f#	vii		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
22	1.0	12	12	1/2	1/2	3/4	3	1	vii(9)	f#	vii		vii(9)	vii			9				m	1	1	-2, -5, -1	0	-2	-2
23	0.5	12	12	3/4	3/4	3/4	3	1	vii7(9+#6)	f#	vii		vii7(9+#6)	vii		7	9+#6				mm7	1	1	-2, -5, -1, -4	0, 8	-2	-2
47/2	0.5	13	13	0	0	3/4	3	1	i7(9)	f#	vii		i7(9)	i		7	9				mm7	1	1	0, -3, 1, -2	2	0	0
24	0.5	13	13	1/8	1/8	3/4	3	1	i7	f#	vii		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
49/2	0.5	14	14	0	1/8	3/4	3	1	i7(9)	f#	vii		i7(9)	i		7	9				mm7	1	1	0, -3, 1, -2	2	0	0
25	0.5	14	14	1/8	1/4	3/4	3	1	i7	f#	vii		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
51/2	1.0	14	14	1/4	3/8	3/4	3	1	vii(9)	f#	vii		vii(9)	vii			9				m	1	1	-2, -5, -1	0	-2	-2
53/2	0.5	14	14	1/2	5/8	3/4	3	1	vii7(9+#6)	f#	vii		vii7(9+#6)	vii		7	9+#6				mm7	1	1	-2, -5, -1, -4	0, 8	-2	-2
27	1.6666666666666679	15	15	0	0	2/4	3	1	vii(9)	f#	vii		vii(9)	vii			9				m	1	1	-2, -5, -1	0	-2	-2
86/3	0.33333333333333215	15	15	5/12	5/12	2/4	3	1	vii7(9+#6)\\	f#	vii		vii7(9+#6)	vii		7	9+#6			\\	mm7	1	1	-2, -5, -1, -4	0, 8	-2	-2
29	0.5	16	16	0	0	2/4	3	1	i.i7	f#	i		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
59/2	1.1666666666666679	16	16	1/8	1/8	2/4	3	1	i7(9)	f#	i		i7(9)	i		7	9				mm7	1	1	0, -3, 1, -2	2	0	0
92/3	0.8333333333333321	16	16	5/12	5/12	2/4	3	1	i7	f#	i		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
63/2	1.1666666666666643	17	17	1/8	1/8	2/4	3	1	i7(9)	f#	i		i7(9)	i		7	9				mm7	1	1	0, -3, 1, -2	2	0	0
98/3	0.5833333333333357	18	18	1/6	5/12	2/4	3	1	i7	f#	i		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
133/4	1.4166666666666643	19	19	1/16	1/16	2/4	3	1	i7(9)	f#	i		i7(9)	i		7	9				mm7	1	1	0, -3, 1, -2	2	0	0
104/3	0.8333333333333357	19	19	5/12	5/12	2/4	3	1	i7	f#	i		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
71/2	1.1666666666666643	20	20	1/8	1/8	2/4	3	1	i7(9)	f#	i		i7(9)	i		7	9				mm7	1	1	0, -3, 1, -2	2	0	0
110/3	0.5833333333333357	20	20	5/12	5/12	2/4	3	1	i7	f#	i		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
149/4	1.4166666666666643	21	21	1/16	1/16	2/4	3	1	i7(9)	f#	i		i7(9)	i		7	9				mm7	1	1	0, -3, 1, -2	2	0	0
116/3	0.8333333333333357	21	21	5/12	5/12	2/4	3	1	i7	f#	i		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
79/2	3.1666666666666643	22	22	1/8	1/8	2/4	3	1	i7(9)	f#	i		i7(9)	i		7	9				mm7	1	1	0, -3, 1, -2	2	0	0
128/3	0.3333333333333357	23	23	5/12	5/12	2/4	3	1	i7\\	f#	i		i7	i		7				\\	mm7	1	1	0, -3, 1, -2		0	0
43	0.5	24	24	0	0	3/4	3	1	III.IM7	f#	III		IM7	I	M	7					MM7	1	0	0, 4, 1, 5		0	0
87/2	0.5	24	24	1/8	1/8	3/4	3	1	I(+6)	f#	III		I(+6)	I			+6				M	1	0	0, 4, 1	3	0	0
44	0.5	24	24	1/4	1/4	3/4	3	1	IM7	f#	III		IM7	I	M	7					MM7	1	0	0, 4, 1, 5		0	0
89/2	0.5	24	24	3/8	3/8	3/4	3	1	I(+6)	f#	III		I(+6)	I			+6				M	1	0	0, 4, 1	3	0	0
45	1.0	24	24	1/2	1/2	3/4	3	1	bVIIM7	f#	III		bVIIM7	bVII	M	7					MM7	1	0	-2, 2, -1, 3		-2	-2
46	0.5	24	24	3/4	3/4	3/4	3	1	bVII(+#4)	f#	III		bVII(+#4)	bVII			+#4				M	1	0	-2, 2, -1	11	-2	-2
93/2	0.5	25	25	0	0	3/4	3	1	IM7	f#	III		IM7	I	M	7					MM7	1	0	0, 4, 1, 5		0	0
47	0.5	25	25	1/8	1/8	3/4	3	1	I(+6)	f#	III		I(+6)	I			+6				M	1	0	0, 4, 1	3	0	0
95/2	0.5	26	26	0	1/8	3/4	3	1	IM7	f#	III		IM7	I	M	7					MM7	1	0	0, 4, 1, 5		0	0
48	0.5	26	26	1/8	1/4	3/4	3	1	I(+6)	f#	III		I(+6)	I			+6				M	1	0	0, 4, 1	3	0	0
97/2	1.0	26	26	1/4	3/8	3/4	3	1	bVIIM7	f#	III		bVIIM7	bVII	M	7					MM7	1	0	-2, 2, -1, 3		-2	-2
