mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.5	0	0	4/4	3	1	E.IM7(9)		E	I		IM7(9)	I	M	7	9				MM7	0	0	0, 4, 1, 5	2	0	0
1	1	3/2	0.5	3/8	3/8	4/4	3	1	IVM7		E	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
1	1	2	1.5	1/2	1/2	4/4	3	1	IM7(9)		E	I		IM7(9)	I	M	7	9				MM7	0	0	0, 4, 1, 5	2	0	0
1	1	7/2	0.5	7/8	7/8	4/4	3	1	IVM7		E	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
2	2	4	2.0	0	0	2/4	3	1	IM7(9)		E	I		IM7(9)	I	M	7	9				MM7	0	0	0, 4, 1, 5	2	0	0
3	3	6	1.5	0	0	4/4	3	1	IVM7		E	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
3	3	15/2	0.5	3/8	3/8	4/4	3	1	V43(+6b5)/vi		E	I		V43(+6b5)/vi	V		43	+6b5	vi			Mm7	0	0	-2, 2, 4, 8	0	4	-2
3	3	8	1.5	1/2	1/2	4/4	3	1	IVM7		E	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
3	3	19/2	0.5	7/8	7/8	4/4	3	1	V43(+6b5)/vi		E	I		V43(+6b5)/vi	V		43	+6b5	vi			Mm7	0	0	-2, 2, 4, 8	0	4	-2
4	4	10	1.0	0	0	4/4	3	1	IVM7		E	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
4	4	11	1.0	1/4	1/4	4/4	3	1	V7(9+#4)/bIII		E	I		V7(9+#4)/bIII	V		7	9+#4	bIII			Mm7	0	0	-2, 2, -1, -4	0, 4	-2	-2
4	4	12	0.5	1/2	1/2	4/4	3	1	V43(+6b5)/iv		E	I		V43(+6b5)/iv	V		43	+6b5	iv			Mm7	0	0	-6, -2, 0, 4	-4	0	-6
4	4	25/2	0.5	5/8	5/8	4/4	3	1	V43(+6b5)/ii		E	I		V43(+6b5)/ii	V		43	+6b5	ii			Mm7	0	0	-3, 1, 3, 7	-1	3	-3
4	4	13	0.5	3/4	3/4	4/4	3	1	V7(9+#4)/IV		E	I		V7(9+#4)/IV	V		7	9+#4	IV			Mm7	0	0	0, 4, 1, -2	2, 6	0	0
4	4	27/2	0.5	7/8	7/8	4/4	3	1	V7(9b5)/ii		E	I		V7(9b5)/ii	V		7	9b5	ii			Mm7	0	0	3, 7, -3, 1	-2	3	3
5	5	14	1.5	0	0	4/4	3	1	V43(+6b5)/iv		E	I		V43(+6b5)/iv	V		43	+6b5	iv			Mm7	0	0	-6, -2, 0, 4	-4	0	-6
5	5	31/2	0.5	3/8	3/8	4/4	3	1	V7(9b5)/ii		E	I		V7(9b5)/ii	V		7	9b5	ii			Mm7	0	0	3, 7, -3, 1	-2	3	3
5	5	16	1.5	1/2	1/2	4/4	3	1	V43(+6b5)/iv		E	I		V43(+6b5)/iv	V		43	+6b5	iv			Mm7	0	0	-6, -2, 0, 4	-4	0	-6
5	5	35/2	0.5	7/8	7/8	4/4	3	1	V7(9b5)/ii		E	I		V7(9b5)/ii	V		7	9b5	ii			Mm7	0	0	3, 7, -3, 1	-2	3	3
6	6	18	2.5	0	0	4/4	3	1	V43(+6b5)/iv		E	I		V43(+6b5)/iv	V		43	+6b5	iv			Mm7	0	0	-6, -2, 0, 4	-4	0	-6
