mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
147	147	1/2	#viio64(b3)		D	iii		#viio64(b3)	#vii	o	64	b3			o	0	1	-1, 5, -5		5.0	-1.0
148	148	0	I.V7(9)		D	I		V7(9)	V		7	9			Mm7	0	0	1, 5, 2, -1	3	1.0	1.0
150	150	1/4	I6(+6)		D	I		I6(+6)	I		6	+6			M	0	0	4, 1, 0	3	0.0	4.0
151	151	0	I64(+6)		D	I		I64(+6)	I		64	+6			M	0	0	1, 0, 4	3	0.0	1.0
154	154	3/8	I(+6)		D	I		I(+6)	I			+6			M	0	0	0, 4, 1	3	0.0	0.0
155	155	1/2	V[V		D	I	V	V	V						M	0	0	1, 5, 2		1.0	1.0
157	157	0	I64(+6)		D	I	V	I64(+6)	I		64	+6			M	0	0	1, 0, 4	3	0.0	1.0
157	157	1/2	V7(#8#44)		D	I	V	V7(#8#44)	V		7	#8#44			Mm7	0	0	1, 0, 7, -1		1.0	1.0
157	157	7/8	V7(9)		D	I	V	V7(9)	V		7	9			Mm7	0	0	1, 5, 2, -1	3	1.0	1.0
158	158	0	I6(+6)		D	I	V	I6(+6)	I		6	+6			M	0	0	4, 1, 0	3	0.0	4.0
158	158	1/2	V(9#6#4#2)		D	I	V	V(9#6#4#2)	V			9#6#4#2			M	0	0	1, 10, 7	3, 11	1.0	1.0
158	158	7/8	VM7(#5)		D	I	V	VM7(#5)	V	M	7	#5			MM7	0	0	1, 5, 9, 6		1.0	1.0
159	159	0	I(+6)		D	I	V	I(+6)	I			+6			M	0	0	0, 4, 1	3	0.0	0.0
159	159	1/2	V7(#86#4)		D	I	V	V7(#86#4)	V		7	#86#4			Mm7	0	0	1, 5, 7, -1		1.0	1.0
159	159	7/8	V7(9)		D	I	V	V7(9)	V		7	9			Mm7	0	0	1, 5, 2, -1	3	1.0	1.0
160	160	0	I(+6)		D	I	V	I(+6)	I			+6			M	0	0	0, 4, 1	3	0.0	0.0
160	160	1/2	V7(#86#4)		D	I	V	V7(#86#4)	V		7	#86#4			Mm7	0	0	1, 5, 7, -1		1.0	1.0
160	160	7/8	V7(9)		D	I	V	V7(9)	V		7	9			Mm7	0	0	1, 5, 2, -1	3	1.0	1.0
161	161	0	V		D	I	V	V	V						M	0	0	1, 5, 2		1.0	1.0
